TL,TM,TR,CL,CM,CR,BL,BM,BR,probe,corr
L,K,J,*,*,*,H,Q,C,l,left
K,T,D,*,*,*,B,Z,G,q,down
L,G,H,*,*,*,Y,Z,D,z,left
T,G,V,*,*,*,M,D,S,y,down
M,G,X,*,*,*,T,P,R,p,left
D,N,B,*,*,*,X,V,Q,l,down
Q,L,T,*,*,*,G,Y,N,n,left
D,R,H,*,*,*,G,C,L,p,down
S,F,N,*,*,*,D,Q,M,d,left
L,N,V,*,*,*,S,J,Q,h,down
Z,S,L,*,*,*,N,R,X,x,left
L,M,S,*,*,*,G,P,X,k,down
D,M,P,*,*,*,S,F,Z,p,left
L,Y,X,*,*,*,Z,Q,P,v,down
Q,X,G,*,*,*,C,T,Y,q,left
M,X,H,*,*,*,Y,K,T,q,down
Z,B,D,*,*,*,F,X,Y,x,left
Y,J,V,*,*,*,C,P,L,t,down
C,Z,R,*,*,*,G,Y,L,l,left
J,B,C,*,*,*,S,V,D,z,down
Y,J,B,*,*,*,F,P,V,f,left
T,Q,S,*,*,*,B,C,L,d,down
J,S,B,*,*,*,Z,H,Y,z,left
D,P,N,*,*,*,J,T,C,h,down
Q,M,X,*,*,*,C,P,K,m,left
Z,Q,N,*,*,*,P,V,F,l,down
D,L,V,*,*,*,K,Q,N,l,left
H,M,D,*,*,*,N,J,G,r,down
M,L,D,*,*,*,V,T,Z,z,left
C,J,Z,*,*,*,K,H,D,x,down
K,B,V,*,*,*,N,F,Y,v,left
B,C,T,*,*,*,Z,X,K,d,down
C,G,Z,*,*,*,X,F,N,n,left
Y,N,C,*,*,*,Q,X,D,t,down
P,C,D,*,*,*,G,X,B,c,left
Y,T,B,*,*,*,M,Q,R,s,down
Y,Q,P,*,*,*,C,S,M,m,left
G,Z,S,*,*,*,C,V,Q,m,down
G,T,Y,*,*,*,D,K,Z,g,left
Z,L,J,*,*,*,G,F,V,d,down
T,C,Z,*,*,*,K,J,B,j,left
N,D,Q,*,*,*,M,V,C,r,down
B,V,Z,*,*,*,H,Q,S,v,left
X,M,B,*,*,*,V,C,J,z,down
F,J,H,*,*,*,P,B,Q,b,left
K,N,H,*,*,*,C,X,R,v,down
F,R,S,*,*,*,T,K,D,f,left
R,X,F,*,*,*,M,C,N,g,down
G,R,S,*,*,*,H,L,Y,s,left
K,R,C,*,*,*,D,T,F,j,down
R,V,C,*,*,*,N,S,Z,n,left
S,X,G,*,*,*,M,B,J,r,down
F,V,D,*,*,*,K,Z,Y,k,left
M,V,C,*,*,*,S,Q,G,b,down
G,V,Q,*,*,*,Y,X,T,y,left
F,M,G,*,*,*,H,D,V,y,down
H,R,D,*,*,*,S,F,X,h,left
D,F,S,*,*,*,X,P,V,k,down
F,Q,M,*,*,*,S,V,J,v,left
M,R,F,*,*,*,L,K,Z,x,down
P,T,B,*,*,*,J,X,Z,z,left
P,H,S,*,*,*,T,M,D,v,down
S,N,F,*,*,*,V,J,Q,s,left
S,G,X,*,*,*,C,H,V,d,down
K,L,Q,*,*,*,S,N,G,q,left
C,R,B,*,*,*,F,H,L,g,down
K,G,J,*,*,*,Q,F,X,x,left
R,L,N,*,*,*,X,K,B,t,down
P,K,Q,*,*,*,T,H,J,h,left
H,T,Z,*,*,*,L,R,G,f,down
C,G,M,*,*,*,V,P,K,g,left
P,R,M,*,*,*,X,Q,Y,g,down
Y,V,N,*,*,*,B,J,Q,n,left
G,K,S,*,*,*,T,P,L,m,down
K,Z,M,*,*,*,D,S,L,d,left
T,Y,S,*,*,*,M,D,G,z,down
G,M,F,*,*,*,Y,B,V,g,left
X,J,T,*,*,*,K,G,F,y,down
K,G,H,*,*,*,Q,M,J,g,left
C,X,F,*,*,*,B,T,G,m,down
H,B,D,*,*,*,G,S,P,h,left
G,R,P,*,*,*,H,X,Q,n,down
Y,R,P,*,*,*,C,X,H,r,left
V,R,M,*,*,*,S,P,T,n,down
Y,H,Q,*,*,*,V,Z,G,z,left
F,X,V,*,*,*,C,S,Q,k,down
X,Z,T,*,*,*,D,H,P,z,left
D,N,H,*,*,*,S,Q,P,l,down
D,T,Q,*,*,*,B,G,F,q,left
K,M,T,*,*,*,D,C,X,q,down
Y,D,B,*,*,*,C,P,H,y,left
L,C,S,*,*,*,Y,T,P,b,down
M,G,Y,*,*,*,H,K,J,g,left
R,P,D,*,*,*,G,Q,Z,n,down
B,V,S,*,*,*,K,C,R,r,left
J,N,Q,*,*,*,H,F,G,m,down
F,D,H,*,*,*,V,S,N,d,left
C,S,N,*,*,*,P,L,Y,v,down
P,T,X,*,*,*,Q,C,H,p,left
K,P,X,*,*,*,L,D,C,r,down
K,C,X,*,*,*,V,Q,S,x,left
T,H,P,*,*,*,V,F,X,r,down
F,H,V,*,*,*,S,M,N,f,left
J,Y,N,*,*,*,K,M,T,h,down
L,Y,H,*,*,*,Q,M,D,q,left
T,V,J,*,*,*,P,Q,M,d,down
J,M,Q,*,*,*,S,B,X,x,left
M,B,J,*,*,*,V,C,Q,p,down
N,T,X,*,*,*,P,Q,G,q,left
G,F,C,*,*,*,L,J,P,r,down
Y,L,H,*,*,*,K,R,T,l,left
C,Q,P,*,*,*,L,V,Z,t,down
F,P,Z,*,*,*,D,X,J,x,left
R,Y,L,*,*,*,F,X,C,j,down
D,P,Y,*,*,*,T,J,F,f,left
T,B,N,*,*,*,S,V,C,r,down
J,Q,R,*,*,*,D,G,F,d,left
G,Y,F,*,*,*,B,J,C,m,down
M,D,T,*,*,*,N,G,X,n,left
M,J,N,*,*,*,D,B,Y,g,down
Y,B,P,*,*,*,V,D,K,k,left
C,Q,T,*,*,*,Y,L,D,s,down
N,R,B,*,*,*,Q,D,F,n,left
C,X,Z,*,*,*,Q,L,K,j,down
N,R,V,*,*,*,F,C,P,n,left
R,N,F,*,*,*,Q,C,M,j,down
G,H,Z,*,*,*,B,D,C,g,left
B,Q,N,*,*,*,K,R,F,j,down
K,X,G,*,*,*,P,V,H,x,left
Z,B,V,*,*,*,M,P,F,n,down
L,S,P,*,*,*,F,K,X,s,left
J,Z,T,*,*,*,G,D,X,r,down
J,N,K,*,*,*,P,L,Y,j,left
Z,L,V,*,*,*,S,R,Y,j,down
R,Y,X,*,*,*,J,P,Q,r,left
N,V,D,*,*,*,G,S,L,c,down
Z,F,X,*,*,*,Q,C,L,q,left
Q,L,K,*,*,*,D,N,H,v,down
V,R,B,*,*,*,K,L,Z,b,left
D,G,J,*,*,*,R,Y,V,z,down
Q,R,Z,*,*,*,T,C,D,d,left
Q,C,G,*,*,*,X,M,H,j,down
T,F,B,*,*,*,G,Y,C,b,left
X,G,L,*,*,*,V,D,S,y,down
F,V,D,*,*,*,N,Z,Y,f,left
X,F,Y,*,*,*,H,T,S,k,down
D,X,K,*,*,*,P,Z,B,b,left
J,L,K,*,*,*,D,H,Q,m,down
L,G,Q,*,*,*,V,B,R,g,left
R,C,M,*,*,*,F,K,P,t,down
J,Z,D,*,*,*,S,G,F,j,left
V,Q,B,*,*,*,J,D,C,z,down
F,Y,Z,*,*,*,L,D,V,l,left
N,Z,D,*,*,*,F,L,B,q,down
Z,J,C,*,*,*,V,S,H,v,left
Z,P,G,*,*,*,F,L,N,h,down
B,K,H,*,*,*,T,C,J,c,left
Z,L,K,*,*,*,S,T,R,n,down
G,Y,B,*,*,*,M,T,R,y,left
M,F,C,*,*,*,T,G,H,b,down
D,Z,C,*,*,*,K,N,S,z,left
M,B,T,*,*,*,K,Z,S,y,down
Z,D,L,*,*,*,V,S,G,v,left
N,R,H,*,*,*,C,S,K,g,down
T,Z,Y,*,*,*,D,Q,X,d,left
X,V,H,*,*,*,K,Y,D,n,down
C,X,V,*,*,*,S,B,D,d,left
D,V,L,*,*,*,H,S,M,k,down
L,H,V,*,*,*,R,F,P,h,left
G,P,K,*,*,*,R,M,N,q,down
N,H,T,*,*,*,Q,S,J,j,left
C,F,H,*,*,*,V,Q,N,p,down
Y,M,N,*,*,*,G,J,K,n,left
L,P,N,*,*,*,F,S,X,b,down
X,F,Q,*,*,*,K,P,G,x,left
V,F,N,*,*,*,M,H,P,q,down
V,G,Z,*,*,*,X,F,Q,v,left
Q,Z,T,*,*,*,D,V,G,c,down
Z,N,F,*,*,*,Q,S,B,z,left
S,K,D,*,*,*,F,L,J,b,down
P,H,C,*,*,*,B,N,V,v,left
J,X,B,*,*,*,P,K,G,z,down
P,F,M,*,*,*,X,B,S,b,left
P,K,M,*,*,*,G,H,J,q,down
C,T,K,*,*,*,B,V,R,b,left
F,T,N,*,*,*,D,P,M,l,down
T,S,C,*,*,*,P,V,X,s,left
C,H,Q,*,*,*,S,T,X,r,down
Q,Y,K,*,*,*,N,H,R,y,left
C,Z,R,*,*,*,G,M,H,f,down
D,R,X,*,*,*,L,M,S,d,left
F,V,Y,*,*,*,X,P,G,s,down
G,R,N,*,*,*,B,C,T,g,left
Y,C,J,*,*,*,K,B,T,s,down
T,L,H,*,*,*,G,M,V,m,left
Q,V,F,*,*,*,X,L,Z,g,down
D,R,Q,*,*,*,M,P,B,p,left
D,Y,K,*,*,*,R,P,S,t,down
G,P,B,*,*,*,S,D,Z,s,left
D,J,V,*,*,*,R,Z,P,c,down
M,B,S,*,*,*,J,Z,N,b,left
K,T,J,*,*,*,Z,X,Y,b,down
G,J,M,*,*,*,P,D,B,b,left
C,Y,F,*,*,*,Z,B,K,q,down
F,Y,X,*,*,*,H,G,P,x,left
G,R,H,*,*,*,Z,F,B,l,down
P,Z,Y,*,*,*,N,F,M,z,left
V,S,R,*,*,*,J,T,M,f,down
X,S,R,*,*,*,T,K,P,k,left
M,J,Q,*,*,*,Y,D,B,n,down
R,M,V,*,*,*,K,H,X,r,left
C,G,Z,*,*,*,T,P,L,f,down
L,R,Z,*,*,*,G,F,T,r,left
Y,H,L,*,*,*,J,S,K,t,down
J,N,T,*,*,*,F,G,R,g,left
T,Q,D,*,*,*,P,S,L,f,down
N,S,R,*,*,*,Q,J,K,n,left
T,K,C,*,*,*,D,H,Y,x,down
G,V,Y,*,*,*,H,Z,T,z,left
J,G,Y,*,*,*,H,L,S,r,down
R,Q,P,*,*,*,H,Z,T,z,left
Y,Z,S,*,*,*,N,B,J,p,down
R,L,V,*,*,*,B,G,T,g,left
V,G,X,*,*,*,R,P,B,z,down
F,G,S,*,*,*,R,J,Z,f,left
B,L,N,*,*,*,Y,X,Z,m,down
B,J,T,*,*,*,L,P,K,t,left
D,L,T,*,*,*,V,R,P,y,down
J,V,F,*,*,*,D,M,N,d,left
N,M,S,*,*,*,P,H,Q,c,down
G,J,Y,*,*,*,Z,T,Q,z,left
Q,R,B,*,*,*,F,C,Y,x,down
D,Q,Z,*,*,*,C,S,P,c,left
B,X,N,*,*,*,V,C,F,z,down
V,R,K,*,*,*,B,T,M,m,left
B,G,D,*,*,*,T,J,X,l,down
T,Y,H,*,*,*,B,K,L,h,left
R,G,L,*,*,*,S,B,P,z,down
K,F,Y,*,*,*,H,S,J,f,left
X,Z,C,*,*,*,S,B,V,j,down
N,G,R,*,*,*,Q,F,Z,g,left
L,Q,N,*,*,*,C,S,D,t,down
Z,F,L,*,*,*,X,K,G,f,left
J,M,G,*,*,*,X,Y,T,p,down
D,K,S,*,*,*,L,T,M,l,left
Z,M,F,*,*,*,C,S,H,q,down
Y,Q,F,*,*,*,D,L,K,d,left
K,X,J,*,*,*,Q,L,M,r,down
K,F,B,*,*,*,V,G,C,g,left
K,Q,M,*,*,*,T,R,Y,j,down
N,C,J,*,*,*,S,D,B,b,left
C,K,G,*,*,*,X,Q,H,p,down
X,K,V,*,*,*,R,Q,M,k,left
G,T,J,*,*,*,S,B,Y,f,down
V,F,J,*,*,*,S,X,K,f,left
N,T,F,*,*,*,Z,Q,P,h,down
P,G,Z,*,*,*,S,N,D,n,left
Z,Y,H,*,*,*,J,X,C,t,down
S,N,P,*,*,*,T,Z,D,t,left
B,J,Y,*,*,*,H,S,K,c,down
H,G,C,*,*,*,S,V,J,c,left
X,G,D,*,*,*,M,K,J,t,down
Z,S,C,*,*,*,V,P,F,s,left
J,B,G,*,*,*,L,F,P,n,down
Q,T,R,*,*,*,F,D,Y,t,left
N,H,B,*,*,*,F,K,R,t,down
R,K,J,*,*,*,Y,C,Q,k,left
Z,H,F,*,*,*,M,S,P,r,down
H,K,T,*,*,*,M,P,B,b,left
Z,B,D,*,*,*,H,Q,N,x,down
N,F,V,*,*,*,J,R,G,v,left
C,Y,V,*,*,*,P,K,Q,d,down
H,S,K,*,*,*,T,N,L,n,left
Z,Q,V,*,*,*,J,B,S,l,down
B,Q,Y,*,*,*,M,J,V,b,left
N,R,K,*,*,*,T,M,X,q,down
V,Z,S,*,*,*,L,J,X,s,left
K,M,X,*,*,*,C,F,P,b,down
B,V,X,*,*,*,Q,R,N,q,left
K,M,N,*,*,*,X,Q,V,g,down
C,B,Q,*,*,*,M,K,P,q,left
M,Y,S,*,*,*,L,T,H,j,down
K,Y,Z,*,*,*,J,C,P,j,left
Y,B,R,*,*,*,F,D,H,s,down
Z,K,L,*,*,*,H,R,T,z,left
G,N,F,*,*,*,R,M,H,j,down
S,T,C,*,*,*,D,M,L,m,left
Q,L,J,*,*,*,S,P,K,z,down
Y,D,Z,*,*,*,N,V,M,d,left
M,C,H,*,*,*,F,Y,S,x,down
S,D,K,*,*,*,G,P,Z,s,left
J,N,Q,*,*,*,R,L,V,b,down
L,G,D,*,*,*,S,F,Q,f,left
L,F,B,*,*,*,Z,P,X,s,down
B,D,G,*,*,*,R,F,Z,r,left
T,C,P,*,*,*,L,H,K,m,down
C,T,Y,*,*,*,J,K,R,k,left
X,S,B,*,*,*,Y,K,P,h,down
X,R,K,*,*,*,C,F,D,c,left
R,D,M,*,*,*,H,L,J,q,down
K,S,R,*,*,*,H,T,X,k,left
G,K,R,*,*,*,L,C,T,j,down
D,Y,G,*,*,*,S,F,R,f,left
N,D,R,*,*,*,K,C,X,j,down
N,S,F,*,*,*,M,V,G,f,left
M,V,F,*,*,*,B,P,H,q,down
H,S,Z,*,*,*,M,L,Y,z,left
K,F,L,*,*,*,V,S,N,j,down
B,N,K,*,*,*,T,L,J,n,left
P,Z,M,*,*,*,V,T,S,q,down
D,F,R,*,*,*,L,S,P,p,left
H,K,N,*,*,*,Y,R,S,f,down
J,G,M,*,*,*,K,Z,R,j,left
Q,F,H,*,*,*,Z,P,Y,n,down
T,P,X,*,*,*,B,V,Z,x,left
P,X,J,*,*,*,K,Q,T,y,down
D,X,F,*,*,*,Q,R,P,x,left
R,P,J,*,*,*,Q,L,B,h,down
X,S,Y,*,*,*,D,G,F,s,left
B,G,Q,*,*,*,H,D,R,m,down
Y,L,C,*,*,*,H,P,G,h,left
Y,T,H,*,*,*,K,G,N,d,down
Y,G,L,*,*,*,H,V,R,v,left
R,T,H,*,*,*,K,Y,B,c,down
F,D,T,*,*,*,V,N,Q,v,left
M,Y,C,*,*,*,Q,D,T,z,down
F,Q,S,*,*,*,C,X,T,c,left
D,L,R,*,*,*,G,Z,J,f,down
Z,C,Y,*,*,*,T,X,K,c,left
G,J,Q,*,*,*,T,Y,D,p,down
B,K,S,*,*,*,J,C,Y,c,left
Y,Q,K,*,*,*,R,C,X,s,down
Q,Z,V,*,*,*,K,G,X,k,left
X,V,C,*,*,*,H,S,Z,d,down
Z,Y,F,*,*,*,R,D,L,d,left
F,K,D,*,*,*,J,P,R,l,down
J,S,R,*,*,*,Z,G,F,g,left
N,C,S,*,*,*,P,Y,H,m,down
G,S,Q,*,*,*,R,J,D,s,left
R,M,Y,*,*,*,S,B,V,z,down
M,S,J,*,*,*,T,Q,R,q,left
J,S,R,*,*,*,V,K,T,x,down
Y,H,N,*,*,*,K,L,V,y,left
G,K,N,*,*,*,T,C,H,s,down
F,R,P,*,*,*,D,T,X,r,left
C,F,T,*,*,*,G,Y,L,q,down
D,M,N,*,*,*,S,J,T,n,left
G,M,J,*,*,*,V,H,X,r,down
Y,M,G,*,*,*,H,C,L,c,left
L,B,K,*,*,*,Y,P,X,c,down
Z,X,R,*,*,*,G,T,J,j,left
G,R,Z,*,*,*,L,X,D,c,down
X,G,H,*,*,*,L,B,M,m,left
V,B,M,*,*,*,X,L,F,k,down
N,T,D,*,*,*,G,L,S,d,left
B,S,D,*,*,*,Q,F,X,l,down
N,D,G,*,*,*,C,Z,H,h,left
P,D,C,*,*,*,Z,N,G,m,down
T,V,J,*,*,*,K,C,G,c,left
H,Z,G,*,*,*,K,V,F,t,down
P,Z,Y,*,*,*,Q,B,N,y,left
L,P,R,*,*,*,D,Q,H,x,down
Y,X,G,*,*,*,Z,D,Q,y,left
J,D,G,*,*,*,P,R,B,z,down
J,L,N,*,*,*,G,R,Z,g,left
R,S,P,*,*,*,D,V,H,m,down
G,S,L,*,*,*,F,Q,Y,g,left
G,L,M,*,*,*,Z,X,J,s,down
M,P,B,*,*,*,X,F,Z,p,left
M,F,X,*,*,*,D,V,J,s,down
Y,M,D,*,*,*,B,N,X,b,left
T,M,L,*,*,*,S,Z,C,g,down
C,D,X,*,*,*,K,T,Y,t,left
G,Y,L,*,*,*,R,D,Z,p,down
R,Y,L,*,*,*,S,H,G,s,left
B,Q,K,*,*,*,V,L,M,p,down
C,B,Q,*,*,*,R,G,T,c,left
F,M,J,*,*,*,Y,D,K,t,down
D,X,T,*,*,*,C,K,Z,d,left
N,V,S,*,*,*,F,G,P,d,down
Z,V,B,*,*,*,R,K,S,z,left
Y,M,B,*,*,*,D,G,S,t,down
H,F,J,*,*,*,R,P,K,f,left
Y,L,N,*,*,*,K,X,J,m,down
J,H,F,*,*,*,P,B,R,h,left
J,K,B,*,*,*,N,G,S,v,down
M,Y,R,*,*,*,S,J,X,r,left
R,C,Y,*,*,*,S,Q,G,p,down
R,J,S,*,*,*,X,G,B,s,left
C,D,P,*,*,*,G,F,T,x,down
G,N,R,*,*,*,X,P,D,n,left
C,B,R,*,*,*,Y,L,X,p,down
M,V,N,*,*,*,F,X,S,m,left
N,H,S,*,*,*,D,C,G,j,down
V,T,G,*,*,*,F,Q,Y,f,left
N,D,H,*,*,*,Q,X,Y,v,down
X,F,M,*,*,*,V,Q,D,m,left
Z,G,L,*,*,*,K,P,D,v,down
P,G,Y,*,*,*,Q,C,B,b,left
H,P,F,*,*,*,D,Q,X,s,down
T,B,Q,*,*,*,X,C,L,l,left
R,Y,G,*,*,*,M,Z,L,t,down
L,M,Y,*,*,*,B,K,P,m,left
X,M,L,*,*,*,T,Z,H,c,down
D,C,Z,*,*,*,M,Q,P,q,left
T,H,Q,*,*,*,P,S,F,r,down
P,D,R,*,*,*,Z,F,T,t,left
G,C,T,*,*,*,B,M,F,n,down
J,Z,C,*,*,*,G,R,S,j,left
V,M,G,*,*,*,B,H,D,k,down
R,Q,K,*,*,*,X,V,D,d,left
S,D,X,*,*,*,L,K,N,m,down
N,L,F,*,*,*,S,X,R,r,left
R,Y,G,*,*,*,L,T,J,n,down
J,N,F,*,*,*,B,V,H,h,left
N,C,R,*,*,*,Q,J,Y,g,down
Z,T,P,*,*,*,H,V,G,h,left
L,B,S,*,*,*,R,F,Z,p,down
N,F,G,*,*,*,Q,H,S,q,left
G,Y,D,*,*,*,C,K,H,v,down
C,K,M,*,*,*,R,J,D,m,left
G,F,V,*,*,*,T,K,Y,l,down
K,M,G,*,*,*,Y,D,L,g,left
N,J,G,*,*,*,Q,X,Z,c,down
Q,J,X,*,*,*,R,H,L,l,left
R,Y,K,*,*,*,M,J,S,h,down
N,K,M,*,*,*,B,T,D,t,left
G,T,H,*,*,*,D,P,M,r,down
G,L,J,*,*,*,Y,S,B,s,left
K,C,F,*,*,*,D,Q,M,z,down
C,F,V,*,*,*,G,B,H,f,left
X,F,M,*,*,*,V,Z,R,d,down
S,L,X,*,*,*,N,R,B,l,left
X,P,V,*,*,*,T,D,Q,k,down
S,M,K,*,*,*,H,X,F,s,left
M,B,T,*,*,*,K,L,V,g,down
D,V,H,*,*,*,N,S,T,d,left
X,C,S,*,*,*,G,D,T,y,down
Q,K,F,*,*,*,X,P,Z,q,left
Q,K,T,*,*,*,V,G,L,r,down
Q,J,V,*,*,*,S,F,B,b,left
G,B,Y,*,*,*,J,K,Q,c,down
L,X,R,*,*,*,H,B,Z,h,left
P,B,D,*,*,*,F,J,N,q,down
K,M,P,*,*,*,B,Y,Q,b,left
P,B,D,*,*,*,Z,H,C,j,down
C,H,Y,*,*,*,K,J,V,j,left
Q,B,N,*,*,*,T,Y,R,k,down
L,K,P,*,*,*,C,X,S,x,left
V,R,K,*,*,*,B,D,Z,c,down
P,Y,D,*,*,*,H,J,B,h,left
V,X,Y,*,*,*,D,L,G,j,down
B,M,Q,*,*,*,C,H,J,q,left
T,P,R,*,*,*,F,N,S,q,down
M,K,C,*,*,*,H,B,G,c,left
N,V,K,*,*,*,M,L,F,g,down
R,Q,J,*,*,*,M,P,H,j,left
K,M,S,*,*,*,G,B,P,z,down
N,F,X,*,*,*,J,R,C,f,left
X,C,F,*,*,*,L,R,S,b,down
Z,M,G,*,*,*,B,Y,C,g,left
R,B,X,*,*,*,G,C,K,p,down
B,T,R,*,*,*,G,X,N,n,left
S,K,D,*,*,*,C,Y,F,p,down
Q,B,G,*,*,*,D,H,F,q,left
Q,J,V,*,*,*,Z,C,D,f,down
K,L,H,*,*,*,P,Q,D,p,left
R,N,Z,*,*,*,D,T,G,f,down
H,S,Z,*,*,*,G,M,P,z,left
B,J,H,*,*,*,Z,G,F,r,down
F,G,Y,*,*,*,P,Q,C,y,left
M,J,S,*,*,*,B,Q,F,z,down
V,M,L,*,*,*,Z,P,D,z,left
N,K,P,*,*,*,G,H,Y,d,down
T,N,J,*,*,*,V,M,H,n,left
D,S,Q,*,*,*,Y,M,B,n,down
Y,C,S,*,*,*,H,X,D,c,left
B,K,X,*,*,*,R,C,Y,f,down
N,H,J,*,*,*,T,Q,F,q,left
Y,G,C,*,*,*,T,X,B,n,down
F,H,V,*,*,*,Z,R,M,r,left
Q,G,P,*,*,*,Y,L,Z,m,down
G,M,Q,*,*,*,D,H,N,m,left
P,F,Q,*,*,*,C,T,L,h,down
Z,V,T,*,*,*,M,P,F,p,left
C,F,G,*,*,*,B,N,J,q,down
P,B,H,*,*,*,F,M,Z,b,left
F,B,L,*,*,*,T,H,C,k,down
T,P,H,*,*,*,C,Z,D,z,left
F,X,S,*,*,*,Y,L,Q,b,down
J,B,D,*,*,*,L,V,Q,j,left
D,F,B,*,*,*,K,C,H,l,down
H,B,S,*,*,*,Z,R,N,s,left
S,F,R,*,*,*,Z,M,Q,l,down
X,C,T,*,*,*,Z,K,V,z,left
Z,N,L,*,*,*,Q,F,J,g,down
D,F,Y,*,*,*,J,V,R,v,left
P,B,M,*,*,*,G,S,K,n,down
P,L,V,*,*,*,Q,B,R,r,left
Z,C,G,*,*,*,Y,V,K,h,down
M,P,G,*,*,*,H,D,T,g,left
M,D,F,*,*,*,Z,C,R,q,down
X,J,V,*,*,*,C,Z,T,t,left
J,Y,Z,*,*,*,M,N,K,l,down
J,P,C,*,*,*,X,Y,Z,y,left
P,V,R,*,*,*,D,H,Z,t,down
X,F,K,*,*,*,Y,B,S,s,left
Y,B,K,*,*,*,N,P,M,l,down
G,M,B,*,*,*,L,V,C,g,left
T,F,H,*,*,*,P,M,V,z,down
R,K,V,*,*,*,Y,N,Q,n,left
H,V,X,*,*,*,Y,P,M,q,down
H,Z,Y,*,*,*,T,Q,X,h,left
D,C,Z,*,*,*,V,H,Y,s,down
L,H,T,*,*,*,D,Q,S,s,left
X,R,D,*,*,*,V,B,M,j,down
C,S,Z,*,*,*,N,L,Y,z,left
F,D,H,*,*,*,S,J,T,r,down
M,Z,S,*,*,*,F,P,B,s,left
H,R,Y,*,*,*,P,X,J,z,down
P,C,Y,*,*,*,F,L,Q,q,left
Y,N,V,*,*,*,H,P,G,q,down
J,N,M,*,*,*,X,Z,L,z,left
C,Y,X,*,*,*,B,J,H,k,down
R,T,B,*,*,*,L,Z,C,r,left
Q,C,V,*,*,*,Y,B,S,r,down
C,T,N,*,*,*,M,L,V,t,left
D,L,F,*,*,*,P,H,G,n,down
G,J,H,*,*,*,P,S,C,s,left
K,F,P,*,*,*,T,Z,G,l,down
Z,N,Q,*,*,*,B,J,G,z,left
D,G,Q,*,*,*,B,P,Y,f,down
Y,Q,H,*,*,*,D,X,P,x,left
M,T,Z,*,*,*,K,Q,G,y,down
S,L,J,*,*,*,T,N,F,s,left
Q,H,G,*,*,*,Z,N,X,f,down
