TL,TM,TR,CL,CM,CR,BL,BM,BR,probe,corr
H,S,M,*,L,*,T,Q,J,j,left
Q,M,F,*,K,*,G,V,N,d,down
F,C,K,*,X,*,P,H,T,f,left
V,X,T,*,C,*,L,G,K,d,down
L,Z,D,*,C,*,B,V,Y,v,left
S,Z,L,*,P,*,R,N,G,f,down
F,V,Z,*,N,*,R,L,D,r,left
H,Y,X,*,Q,*,D,J,M,f,down
R,J,L,*,S,*,T,K,Y,l,left
P,B,T,*,J,*,Q,Y,F,h,down
D,M,N,*,P,*,T,B,S,n,left
F,H,N,*,Z,*,Y,G,Q,b,down
L,D,S,*,Z,*,Y,V,T,y,left
Z,B,Y,*,T,*,N,F,P,v,down
C,S,M,*,Y,*,J,Q,R,c,left
Z,N,Q,*,Y,*,D,C,V,j,down
Z,Q,K,*,P,*,X,T,M,x,left
S,D,M,*,G,*,P,H,B,y,down
X,H,J,*,P,*,B,S,Q,q,left
N,V,F,*,Z,*,B,J,G,r,down
L,B,R,*,N,*,J,F,D,b,left
Z,V,Q,*,D,*,J,L,Y,k,down
C,T,J,*,L,*,Z,B,X,x,left
Z,H,P,*,F,*,X,M,G,t,down
G,X,S,*,Q,*,D,T,M,x,left
G,N,R,*,Q,*,B,K,X,s,down
V,L,G,*,Z,*,B,H,R,l,left
Y,J,C,*,M,*,Z,T,V,h,down
D,S,P,*,Z,*,G,C,B,g,left
D,B,C,*,J,*,H,Y,Q,p,down
X,L,Y,*,F,*,P,H,T,h,left
Q,N,S,*,Y,*,M,F,B,j,down
T,X,C,*,M,*,H,D,G,t,left
S,J,T,*,R,*,L,D,G,m,down
S,T,Y,*,H,*,K,C,V,k,left
F,L,P,*,J,*,B,T,C,n,down
S,B,M,*,J,*,D,V,F,m,left
B,N,S,*,C,*,R,V,X,m,down
Z,P,B,*,J,*,T,L,Y,t,left
J,R,Y,*,G,*,K,T,N,c,down
K,C,B,*,D,*,Q,V,J,q,left
X,G,B,*,D,*,Q,Z,S,m,down
J,H,P,*,B,*,X,T,N,t,left
Z,F,M,*,L,*,C,D,Q,p,down
Z,C,X,*,S,*,V,B,T,t,left
C,F,Q,*,B,*,R,S,D,y,down
R,J,N,*,K,*,T,V,F,r,left
Y,M,H,*,C,*,Z,V,X,d,down
Y,H,B,*,G,*,S,V,J,h,left
Y,N,Q,*,F,*,X,C,H,m,down
R,J,H,*,B,*,D,Z,P,r,left
J,K,T,*,H,*,X,P,V,z,down
M,X,T,*,Q,*,B,C,P,b,left
P,H,Q,*,S,*,N,M,G,d,down
D,V,S,*,X,*,N,F,R,x,left
B,N,M,*,Z,*,L,S,Q,f,down
M,J,L,*,D,*,Z,P,X,x,left
F,L,R,*,M,*,S,C,G,j,down
Q,B,M,*,L,*,G,V,Y,y,left
X,Y,R,*,G,*,F,H,P,k,down
K,M,Q,*,S,*,V,L,X,s,left
F,D,S,*,L,*,T,K,C,j,down
S,T,B,*,H,*,R,D,Y,s,left
B,Q,Y,*,T,*,G,F,C,h,down
Y,S,V,*,R,*,C,G,T,v,left
G,Q,S,*,J,*,K,M,R,n,down
H,X,J,*,N,*,G,F,B,j,left
Z,V,B,*,P,*,G,L,Q,n,down
Z,H,Q,*,P,*,Y,C,B,q,left
Z,Q,J,*,H,*,Y,X,L,c,down
Z,P,Y,*,J,*,C,M,D,m,left
R,P,K,*,D,*,L,X,M,c,down
M,H,D,*,X,*,N,B,G,x,left
C,X,P,*,V,*,K,S,R,j,down
X,K,Q,*,Y,*,M,G,P,k,left
Q,J,Y,*,V,*,R,S,G,f,down
B,S,Q,*,Y,*,D,T,C,q,left
L,G,K,*,B,*,P,Q,S,t,down
X,V,B,*,K,*,S,D,R,b,left
L,Q,B,*,S,*,Z,T,D,m,down
M,C,N,*,D,*,G,H,Z,z,left
M,H,P,*,Y,*,X,C,K,s,down
D,M,Q,*,G,*,B,X,C,q,left
X,D,J,*,B,*,F,T,Z,p,down
V,Z,P,*,J,*,G,Q,C,p,left
R,K,Z,*,C,*,G,D,V,t,down
C,R,V,*,D,*,G,M,F,r,left
R,F,P,*,H,*,B,Y,J,m,down
T,S,B,*,X,*,M,H,Z,t,left
T,G,D,*,F,*,Y,R,S,j,down
H,Z,M,*,Q,*,C,L,N,l,left
S,Q,K,*,D,*,B,F,R,t,down
X,D,N,*,S,*,Q,Z,V,x,left
Z,P,H,*,Q,*,Y,C,M,r,down
Z,R,H,*,P,*,T,B,G,t,left
C,T,S,*,Q,*,M,V,P,x,down
K,D,H,*,M,*,P,B,L,m,left
Q,M,L,*,D,*,C,V,S,n,down
M,G,J,*,B,*,S,F,T,j,left
T,Q,B,*,Y,*,S,V,L,j,down
G,K,P,*,T,*,S,C,Y,k,left
R,J,M,*,C,*,Z,V,Q,y,down
Z,M,H,*,D,*,R,G,N,r,left
F,S,N,*,T,*,P,L,R,b,down
F,D,C,*,H,*,S,T,X,t,left
D,R,V,*,N,*,H,F,K,m,down
S,X,T,*,H,*,Z,N,C,h,left
L,F,J,*,Y,*,T,Q,S,v,down
X,K,H,*,L,*,V,C,B,b,left
N,K,V,*,H,*,S,T,G,x,down
Z,T,K,*,D,*,S,G,Q,s,left
Y,L,S,*,Z,*,T,D,N,g,down
H,F,P,*,N,*,T,J,D,j,left
R,K,Z,*,P,*,Y,D,N,h,down
K,X,L,*,R,*,D,G,J,r,left
N,Z,B,*,S,*,D,G,Q,v,down
J,P,Z,*,K,*,T,N,B,n,left
K,J,P,*,H,*,Z,V,S,q,down
G,P,Q,*,N,*,R,S,L,q,left
V,H,X,*,B,*,C,Z,J,t,down
F,Z,T,*,G,*,R,L,X,l,left
N,Z,L,*,D,*,X,B,S,j,down
R,B,F,*,N,*,C,Y,X,y,left
B,J,Z,*,S,*,P,M,Y,f,down
S,R,H,*,K,*,N,T,D,h,left
T,D,P,*,H,*,K,C,X,b,down
Q,F,M,*,N,*,Z,G,X,m,left
Q,Y,H,*,S,*,L,N,X,b,down
S,K,Q,*,Z,*,X,J,F,q,left
R,Q,P,*,X,*,V,G,S,l,down
Z,V,J,*,D,*,X,B,P,x,left
H,R,N,*,F,*,L,G,K,c,down
M,F,H,*,Z,*,B,K,X,z,left
B,P,V,*,G,*,D,N,F,t,down
V,T,Y,*,K,*,B,M,Z,k,left
M,H,S,*,Z,*,R,L,K,y,down
T,K,J,*,P,*,M,S,F,k,left
R,Z,P,*,L,*,G,T,B,m,down
M,P,T,*,L,*,G,K,H,g,left
V,P,D,*,B,*,M,J,Z,h,down
R,F,M,*,C,*,B,S,P,m,left
P,S,X,*,H,*,G,L,M,c,down
Y,J,X,*,G,*,Z,Q,R,r,left
B,L,R,*,M,*,S,K,T,p,down
H,T,Q,*,Y,*,Z,K,F,t,left
B,C,H,*,K,*,X,M,S,r,down
P,X,T,*,K,*,R,S,Z,s,left
G,F,C,*,P,*,V,J,N,d,down
Y,B,R,*,N,*,D,M,P,y,left
Q,S,F,*,V,*,J,Z,Y,m,down
H,S,T,*,Q,*,C,M,N,s,left
Z,H,X,*,G,*,V,Q,T,f,down
S,Q,X,*,F,*,L,J,P,f,left
L,J,D,*,H,*,K,V,P,s,down
J,Y,Q,*,C,*,N,F,L,c,left
B,Y,D,*,T,*,J,N,H,l,down
H,J,M,*,N,*,G,L,V,j,left
K,Y,V,*,H,*,F,L,J,g,down
N,Q,J,*,T,*,F,Z,L,l,left
Y,L,D,*,T,*,M,N,C,k,down
H,B,Q,*,K,*,Z,D,C,q,left
P,J,N,*,H,*,C,F,M,d,down
M,L,B,*,V,*,R,K,N,v,left
B,N,H,*,Y,*,C,V,Z,k,down
L,K,G,*,H,*,Q,B,D,q,left
N,Q,K,*,H,*,C,F,L,m,down
K,N,P,*,B,*,F,Y,H,b,left
B,Q,F,*,P,*,K,G,M,s,down
H,V,S,*,F,*,D,Q,J,j,left
Q,L,S,*,Z,*,T,K,M,c,down
L,N,X,*,Y,*,V,Q,K,k,left
T,P,F,*,K,*,V,C,Y,g,down
Z,J,H,*,M,*,Y,C,L,h,left
M,G,J,*,B,*,K,R,C,p,down
T,Z,J,*,P,*,L,G,F,g,left
J,R,Z,*,D,*,Y,N,Q,s,down
Z,J,C,*,S,*,D,X,L,z,left
H,J,L,*,G,*,F,P,S,c,down
F,K,V,*,G,*,J,T,M,g,left
J,S,R,*,V,*,P,D,Z,f,down
H,T,L,*,F,*,K,V,X,l,left
F,Z,M,*,G,*,R,L,C,y,down
K,V,X,*,Z,*,H,S,M,h,left
S,R,D,*,F,*,J,H,C,y,down
T,D,C,*,K,*,Q,X,H,q,left
M,V,C,*,Q,*,H,B,X,y,down
F,P,M,*,H,*,J,C,S,f,left
K,L,G,*,Y,*,D,N,B,x,down
B,X,H,*,P,*,Y,Q,V,b,left
X,D,V,*,K,*,L,Y,H,f,down
S,P,Q,*,M,*,F,T,C,q,left
D,Z,S,*,L,*,F,C,K,h,down
C,J,T,*,D,*,X,K,Q,q,left
G,K,N,*,B,*,Q,Z,X,c,down
C,R,Z,*,K,*,X,S,L,z,left
L,D,J,*,Q,*,M,Z,N,f,down
F,D,Q,*,Y,*,R,H,T,t,left
C,N,Q,*,X,*,R,H,P,y,down
Q,J,N,*,D,*,B,Y,P,d,left
G,M,B,*,D,*,H,N,J,q,down
R,X,K,*,N,*,H,S,L,l,left
G,J,L,*,B,*,C,M,F,q,down
H,J,K,*,R,*,Q,Y,F,j,left
Y,J,Q,*,L,*,K,V,X,d,down
Z,J,Q,*,H,*,C,F,B,h,left
G,Z,Y,*,M,*,R,D,H,b,down
H,P,C,*,N,*,B,L,V,c,left
V,Q,K,*,P,*,B,H,F,j,down
B,C,J,*,L,*,D,R,X,l,left
H,Q,F,*,G,*,T,R,C,y,down
D,L,M,*,Q,*,R,J,V,v,left
F,B,M,*,R,*,X,N,K,t,down
L,V,M,*,Q,*,T,R,X,x,left
S,J,K,*,Y,*,L,V,X,t,down
T,D,G,*,F,*,J,K,H,k,left
T,Q,R,*,L,*,H,D,S,f,down
L,Y,M,*,P,*,G,F,S,s,left
T,P,M,*,Z,*,H,G,S,d,down
F,H,Z,*,B,*,T,R,G,z,left
Q,B,L,*,V,*,M,C,S,d,down
M,C,G,*,H,*,Z,T,D,d,left
H,P,F,*,M,*,R,N,J,y,down
F,L,Z,*,S,*,X,N,P,f,left
Z,R,T,*,H,*,L,F,X,j,down
F,T,Z,*,M,*,G,D,Q,q,left
T,V,F,*,R,*,S,Q,P,k,down
Y,Q,N,*,V,*,C,D,L,q,left
K,S,Q,*,P,*,X,Y,N,d,down
R,K,D,*,T,*,Z,N,V,t,left
D,Y,N,*,Q,*,J,Z,S,r,down
X,Z,C,*,Y,*,H,L,S,x,left
C,X,H,*,B,*,Z,S,R,n,down
N,Y,F,*,G,*,B,R,X,b,left
C,P,F,*,G,*,Y,Q,R,v,down
J,C,V,*,Z,*,H,P,Y,y,left
G,J,D,*,R,*,N,V,S,m,down
N,Z,T,*,L,*,Q,R,X,q,left
N,X,T,*,K,*,D,C,S,g,down
J,P,K,*,X,*,Y,T,B,x,left
R,K,Q,*,P,*,D,Y,M,h,down
Y,R,L,*,V,*,N,M,Z,y,left
Q,Z,H,*,C,*,F,K,X,l,down
F,Y,B,*,C,*,G,X,K,x,left
P,Z,B,*,K,*,T,M,L,y,down
S,N,F,*,H,*,P,Z,B,p,left
P,X,V,*,B,*,L,K,S,q,down
Y,G,L,*,J,*,R,N,P,p,left
Z,Y,B,*,Q,*,P,L,D,t,down
J,V,B,*,T,*,K,R,N,t,left
J,R,Y,*,V,*,M,N,T,p,down
N,D,F,*,Q,*,V,L,K,f,left
T,J,Y,*,R,*,X,V,H,f,down
D,N,Z,*,T,*,M,P,G,d,left
L,N,D,*,K,*,B,F,X,r,down
M,X,V,*,C,*,B,L,K,k,left
P,V,S,*,M,*,Y,L,R,j,down
G,V,P,*,D,*,S,J,Q,d,left
V,F,N,*,S,*,Y,G,C,b,down
F,M,T,*,Z,*,N,G,X,n,left
G,C,K,*,S,*,L,F,D,p,down
C,J,X,*,Y,*,B,K,F,b,left
Y,N,H,*,D,*,G,K,L,m,down
R,Y,M,*,N,*,K,B,G,n,left
Q,J,Y,*,K,*,M,S,N,v,down
R,B,L,*,T,*,J,C,K,c,left
S,N,X,*,P,*,M,T,K,l,down
P,M,J,*,G,*,C,Y,X,x,left
S,V,Y,*,B,*,T,C,P,k,down
Y,Z,F,*,R,*,P,X,T,f,left
J,X,G,*,F,*,Z,B,N,d,down
B,S,J,*,P,*,T,Q,Z,s,left
P,X,R,*,Y,*,G,B,H,c,down
H,G,V,*,R,*,X,T,N,v,left
Z,K,V,*,T,*,P,X,C,s,down
N,Z,X,*,S,*,Y,B,M,x,left
F,J,H,*,Z,*,S,B,L,y,down
X,F,P,*,J,*,T,D,B,f,left
C,R,Z,*,Y,*,M,G,L,t,down
V,N,X,*,F,*,C,B,H,v,left
T,C,X,*,Q,*,L,P,F,y,down
Y,G,P,*,K,*,R,J,M,j,left
R,Z,T,*,B,*,M,F,P,k,down
L,C,K,*,B,*,P,H,F,l,left
Y,Z,P,*,X,*,F,G,N,h,down
J,Y,L,*,V,*,Q,R,N,j,left
P,N,Q,*,T,*,X,J,Z,r,down
N,Z,Q,*,J,*,F,V,G,v,left
V,J,X,*,M,*,F,L,Y,h,down
M,P,H,*,C,*,G,S,L,c,left
G,M,Q,*,F,*,N,H,B,x,down
X,M,V,*,Y,*,D,N,P,y,left
J,R,P,*,S,*,F,K,C,v,down
Y,F,K,*,X,*,J,T,N,x,left
N,C,S,*,M,*,H,P,Q,x,down
C,Y,G,*,V,*,M,X,D,m,left
V,Z,Q,*,R,*,X,P,K,n,down
H,Z,Y,*,P,*,N,L,V,h,left
V,F,B,*,H,*,T,G,M,k,down
H,X,Y,*,R,*,S,M,C,y,left
N,H,Y,*,S,*,D,C,P,k,down
H,S,B,*,R,*,Q,C,Y,q,left
Z,Q,P,*,N,*,B,F,M,l,down
C,S,N,*,K,*,H,L,Y,s,left
X,B,V,*,M,*,F,H,Z,l,down
K,M,Z,*,G,*,X,H,Y,m,left
H,F,T,*,Y,*,Z,K,Q,p,down
G,R,K,*,P,*,V,C,X,x,left
C,Q,P,*,D,*,T,J,N,b,down
C,Y,M,*,K,*,F,Q,P,k,left
Z,Y,G,*,Q,*,R,L,J,h,down
G,T,V,*,M,*,F,X,C,x,left
Q,K,B,*,X,*,G,V,L,f,down
J,Y,K,*,Z,*,M,Q,H,z,left
J,M,S,*,G,*,H,L,C,x,down
R,N,D,*,Q,*,Y,V,X,r,left
S,B,V,*,Y,*,P,G,D,x,down
Y,D,N,*,X,*,R,L,Q,y,left
V,C,Y,*,S,*,G,D,Z,b,down
F,D,B,*,G,*,N,J,X,b,left
R,L,Y,*,T,*,F,Q,V,j,down
H,B,L,*,M,*,D,G,T,d,left
R,T,F,*,M,*,C,Q,P,y,down
B,Y,M,*,J,*,X,V,H,j,left
L,B,H,*,G,*,C,R,D,v,down
R,M,C,*,Y,*,X,V,J,c,left
V,H,F,*,T,*,C,X,J,n,down
R,D,X,*,M,*,Q,H,K,d,left
J,R,Y,*,K,*,T,V,H,z,down
H,P,S,*,F,*,Y,K,T,p,left
Q,H,P,*,G,*,S,D,X,c,down
R,V,L,*,K,*,D,M,H,d,left
V,K,Q,*,B,*,M,Y,D,f,down
B,K,M,*,Y,*,Q,H,R,b,left
X,B,L,*,D,*,H,V,F,r,down
M,F,R,*,X,*,Z,H,G,z,left
J,S,T,*,H,*,G,L,V,q,down
T,V,S,*,L,*,C,R,K,t,left
F,P,X,*,M,*,B,K,Y,c,down
K,M,G,*,P,*,R,L,V,v,left
G,D,Y,*,L,*,M,Z,C,f,down
P,N,Z,*,G,*,F,J,D,n,left
T,D,N,*,P,*,S,Q,J,y,down
Q,Y,X,*,V,*,D,B,S,v,left
C,X,G,*,N,*,S,R,T,y,down
V,F,H,*,L,*,D,C,Y,c,left
Z,P,M,*,K,*,R,N,T,c,down
P,T,L,*,S,*,H,X,Z,p,left
H,R,L,*,T,*,K,M,J,b,down
H,Q,K,*,F,*,S,N,Y,k,left
T,S,H,*,M,*,B,Z,X,n,down
B,P,C,*,G,*,Y,J,T,p,left
Y,K,L,*,F,*,Z,P,D,m,down
T,D,F,*,N,*,R,L,J,t,left
R,F,T,*,Y,*,L,J,C,m,down
G,V,P,*,Z,*,M,S,L,l,left
T,L,Q,*,V,*,C,Z,H,k,down
Q,F,D,*,G,*,C,B,M,c,left
F,Q,D,*,G,*,M,J,T,z,down
F,B,N,*,X,*,S,Q,R,r,left
B,H,V,*,K,*,T,F,M,d,down
C,F,K,*,M,*,D,B,P,m,left
K,M,C,*,T,*,X,S,D,v,down
B,H,C,*,M,*,Y,Z,J,m,left
F,D,G,*,H,*,N,C,R,y,down
M,C,F,*,Z,*,T,Y,S,s,left
H,M,P,*,C,*,F,N,R,l,down
S,Y,P,*,C,*,Q,Z,B,p,left
Y,G,T,*,M,*,X,K,D,n,down
D,L,F,*,P,*,N,M,H,h,left
Z,C,K,*,J,*,D,V,X,b,down
B,P,L,*,J,*,M,N,S,p,left
K,D,X,*,V,*,Y,N,T,l,down
R,N,L,*,Y,*,M,S,D,s,left
H,D,F,*,J,*,M,K,R,z,down
Z,V,L,*,Q,*,X,P,C,p,left
S,B,M,*,Z,*,P,Y,V,l,down
T,M,Q,*,K,*,F,D,H,t,left
V,T,L,*,F,*,N,P,G,x,down
V,Z,K,*,P,*,Q,T,R,t,left
L,T,G,*,B,*,F,R,Q,n,down
M,R,J,*,D,*,P,C,B,d,left
Q,D,Z,*,N,*,Y,S,B,p,down
J,R,H,*,K,*,Q,V,B,j,left
D,G,P,*,R,*,T,Q,X,z,down
B,Q,F,*,G,*,Z,P,J,g,left
G,P,M,*,Q,*,L,S,K,c,down
Y,R,Q,*,N,*,C,M,B,y,left
R,X,V,*,G,*,D,P,N,k,down
R,J,D,*,H,*,P,C,T,d,left
L,R,S,*,T,*,B,G,X,c,down
H,Y,R,*,Q,*,Z,V,X,z,left
K,R,F,*,Q,*,G,T,J,v,down
G,K,Z,*,S,*,J,M,F,k,left
L,R,S,*,V,*,D,N,H,c,down
X,G,T,*,B,*,R,M,D,d,left
N,D,B,*,S,*,G,Y,J,h,down
N,Y,C,*,S,*,L,F,J,f,left
Q,F,D,*,X,*,V,B,J,c,down
X,H,B,*,F,*,K,C,R,r,left
Z,B,S,*,L,*,D,C,F,m,down
T,F,G,*,K,*,X,J,P,p,left
M,B,V,*,D,*,X,G,Z,f,down
N,F,T,*,P,*,R,V,Y,p,left
R,V,L,*,D,*,M,J,N,x,down
T,M,K,*,P,*,D,G,F,m,left
S,C,B,*,R,*,Y,P,L,f,down
D,V,C,*,B,*,R,G,N,c,left
F,B,S,*,T,*,Z,C,V,n,down
S,H,N,*,B,*,Y,K,G,g,left
R,P,J,*,M,*,D,Q,C,v,down
Q,X,Y,*,D,*,K,L,H,q,left
T,L,D,*,H,*,R,P,V,q,down
H,J,M,*,Y,*,D,T,F,h,left
J,T,P,*,M,*,D,C,X,f,down
G,X,P,*,Z,*,Y,K,B,p,left
N,M,H,*,K,*,V,Z,J,l,down
D,M,C,*,T,*,B,H,S,m,left
J,H,Q,*,X,*,T,Z,D,p,down
Q,R,T,*,Y,*,J,B,X,y,left
F,R,V,*,B,*,S,Y,K,j,down
V,Q,S,*,G,*,R,N,X,n,left
G,Z,L,*,Y,*,B,P,N,c,down
N,D,P,*,M,*,Y,Z,R,p,left
N,L,T,*,X,*,S,D,K,z,down
K,N,L,*,C,*,G,J,B,c,left
S,G,Z,*,M,*,P,Q,L,d,down
Q,D,T,*,Z,*,N,P,B,d,left
Y,C,M,*,K,*,D,P,H,b,down
S,Y,T,*,H,*,D,R,K,t,left
X,D,V,*,L,*,K,C,P,y,down
Q,D,S,*,T,*,G,F,L,q,left
F,P,C,*,B,*,M,Y,J,d,down
T,V,B,*,M,*,R,J,Z,z,left
C,H,L,*,J,*,S,F,K,y,down
Q,K,Z,*,L,*,Y,G,B,y,left
T,C,V,*,K,*,H,N,J,b,down
B,V,S,*,H,*,G,K,L,v,left
F,J,N,*,P,*,S,B,Y,t,down
G,B,Z,*,C,*,Y,S,Q,s,left
R,H,D,*,V,*,N,S,C,z,down
L,B,J,*,Z,*,N,R,T,b,left
P,N,R,*,K,*,V,F,Z,t,down
L,M,B,*,T,*,S,C,Q,s,left
Q,T,P,*,J,*,S,C,X,d,down
L,B,R,*,Z,*,D,P,Y,b,left
H,N,R,*,Y,*,S,C,J,l,down
F,J,K,*,R,*,D,C,H,j,left
H,K,Q,*,G,*,M,F,V,n,down
M,R,Y,*,Q,*,F,J,Z,r,left
H,M,B,*,F,*,K,V,X,j,down
K,D,L,*,Z,*,G,B,Y,z,left
D,G,M,*,L,*,Q,N,X,p,down
V,H,N,*,B,*,S,Y,R,h,left
Q,X,C,*,N,*,T,L,D,r,down
Z,P,T,*,B,*,C,R,N,c,left
H,J,M,*,Z,*,X,D,Q,s,down
R,J,C,*,D,*,Z,X,M,r,left
C,T,K,*,Q,*,L,D,V,z,down
B,X,D,*,S,*,F,G,P,d,left
F,X,V,*,T,*,Z,D,Q,k,down
S,P,G,*,Y,*,C,X,L,c,left
L,T,H,*,G,*,F,X,C,b,down
X,S,Z,*,P,*,D,Q,L,d,left
S,G,C,*,B,*,H,M,T,p,down
K,Q,C,*,V,*,P,Y,S,p,left
S,M,K,*,N,*,L,V,X,y,down
G,C,M,*,P,*,H,R,L,m,left
L,J,Q,*,X,*,H,S,C,z,down
P,C,Y,*,J,*,R,Q,K,q,left
R,H,B,*,D,*,X,P,K,l,down
B,L,N,*,C,*,V,Q,F,q,left
Z,J,M,*,S,*,G,D,L,r,down
X,H,Y,*,Q,*,N,S,J,y,left
F,D,N,*,X,*,C,B,V,j,down
K,M,L,*,Y,*,N,H,D,k,left
B,X,N,*,G,*,S,Y,C,d,down
B,G,S,*,Z,*,D,Y,M,m,left
M,X,S,*,Q,*,N,T,Y,f,down
M,L,Q,*,Y,*,N,F,X,y,left
F,V,R,*,Z,*,G,T,N,b,down
H,C,B,*,N,*,X,V,L,n,left
K,D,N,*,R,*,H,X,P,v,down
B,L,C,*,V,*,N,M,X,c,left
J,K,G,*,X,*,V,M,F,z,down
G,K,V,*,T,*,Q,X,L,x,left
M,N,L,*,Z,*,X,F,S,y,down
Q,T,P,*,D,*,L,M,V,m,left
C,K,B,*,J,*,Q,V,S,z,down
M,J,Y,*,X,*,T,N,R,t,left
C,Z,L,*,M,*,X,B,D,p,down
R,T,P,*,M,*,S,C,J,j,left
G,K,N,*,V,*,H,X,Q,b,down
Y,D,Z,*,F,*,P,R,L,d,left
