TL,TM,TR,CL,CM,CR,BL,BM,BR,probe,corr
B,R,P,H,*,F,J,C,K,d,down
J,X,N,B,*,Y,V,G,C,g,left
M,X,T,B,*,L,V,K,D,z,down
M,D,C,N,*,V,F,J,G,v,left
X,C,Y,D,*,T,G,Q,N,v,down
Y,V,G,X,*,M,B,Q,L,g,left
B,Y,G,L,*,P,Z,C,T,k,down
L,R,Q,F,*,J,S,P,V,l,left
J,X,F,Q,*,M,G,V,Z,d,down
R,Y,H,D,*,V,C,J,B,b,left
S,V,L,Z,*,H,M,G,X,p,down
J,Q,M,F,*,D,S,P,R,j,left
N,R,Q,D,*,X,L,G,J,p,down
S,V,X,J,*,N,T,D,M,d,left
G,H,C,T,*,S,X,N,J,l,down
F,S,L,Q,*,C,Y,N,B,s,left
B,V,R,G,*,K,Q,L,F,p,down
Q,N,J,D,*,Z,V,M,H,m,left
F,B,Z,C,*,Q,T,K,Y,n,down
V,X,R,M,*,F,L,J,B,v,left
K,X,P,Z,*,N,B,G,T,c,down
P,N,B,Z,*,F,X,V,L,n,left
P,C,L,H,*,G,N,Y,X,z,down
L,P,Y,X,*,D,J,M,C,y,left
F,J,P,C,*,Y,R,D,L,n,down
N,B,S,V,*,Y,H,X,R,x,left
J,F,V,Z,*,B,S,L,M,h,down
X,V,Z,M,*,R,P,L,Q,m,left
C,T,V,S,*,G,B,X,J,d,down
M,V,J,L,*,S,N,F,X,s,left
R,N,L,Y,*,B,D,Q,H,f,down
B,Q,R,L,*,K,V,J,T,v,left
R,N,S,L,*,B,Q,F,C,g,down
P,Y,F,B,*,L,Q,R,H,r,left
B,Z,F,Q,*,N,J,G,V,h,down
C,N,X,Y,*,P,F,L,T,t,left
K,N,S,M,*,T,V,R,J,d,down
T,D,F,K,*,L,V,Z,J,v,left
P,X,Y,M,*,L,J,G,S,v,down
P,Q,T,R,*,G,Y,H,J,h,left
Q,H,R,N,*,D,J,Z,T,g,down
S,H,Y,Z,*,L,X,F,P,z,left
L,F,B,Y,*,N,Q,C,J,r,down
K,V,R,P,*,B,X,G,S,p,left
K,Z,Q,M,*,C,J,R,V,n,down
P,T,C,Y,*,J,B,L,S,c,left
V,L,P,T,*,M,Z,D,Q,x,down
R,K,P,S,*,F,T,Z,L,f,left
V,B,T,H,*,K,Y,M,F,z,down
Y,L,H,B,*,M,Q,R,K,m,left
D,X,H,K,*,L,J,R,Z,v,down
C,P,R,V,*,Z,Y,N,L,c,left
F,X,S,K,*,N,G,M,C,d,down
P,L,R,F,*,T,D,J,C,j,left
P,V,H,C,*,T,Q,B,N,z,down
F,V,P,H,*,S,D,B,Z,h,left
Z,M,C,N,*,B,D,X,Y,p,down
C,M,P,R,*,L,H,D,K,m,left
X,D,N,T,*,G,R,Q,F,y,down
L,M,B,X,*,C,F,V,Q,q,left
Z,V,R,X,*,D,T,S,C,l,down
Y,L,M,C,*,S,V,P,N,y,left
B,V,K,R,*,P,Y,S,M,x,down
V,Q,L,D,*,B,J,X,R,b,left
G,M,Q,C,*,J,X,K,N,z,down
K,B,L,M,*,D,P,G,T,d,left
C,X,B,T,*,J,K,Q,Z,s,down
F,M,Z,R,*,D,L,S,P,z,left
Q,H,V,C,*,J,Z,L,F,k,down
C,R,V,X,*,K,J,T,B,b,left
R,Y,Q,C,*,K,G,F,J,m,down
D,S,L,Q,*,H,G,Z,M,q,left
G,T,K,S,*,L,P,F,C,d,down
P,Z,N,B,*,T,Y,S,V,t,left
L,Q,X,G,*,D,Y,B,F,n,down
Q,V,G,L,*,X,M,C,P,l,left
M,Q,N,X,*,J,Z,Y,D,b,down
Y,M,C,Q,*,S,F,J,R,y,left
R,Y,T,M,*,G,V,D,C,h,down
L,D,X,Z,*,N,B,F,Q,q,left
T,Z,D,J,*,R,H,S,N,v,down
C,J,K,D,*,Q,P,N,M,p,left
C,G,H,B,*,R,S,X,Z,d,down
Y,X,M,Z,*,N,R,Q,F,x,left
V,N,H,F,*,Y,M,Z,P,b,down
N,C,Q,M,*,X,T,S,H,h,left
Y,T,G,Q,*,F,H,B,L,j,down
X,F,K,N,*,C,Z,S,Q,c,left
P,R,B,M,*,Z,J,N,G,q,down
Z,K,F,Q,*,H,D,N,S,s,left
X,R,G,H,*,L,P,Z,K,d,down
P,H,J,B,*,K,S,Q,V,j,left
C,D,S,Z,*,P,V,F,Y,t,down
B,R,Q,H,*,C,K,F,G,c,left
R,V,S,P,*,J,T,Y,B,h,down
M,Z,N,T,*,V,S,R,K,k,left
H,P,F,L,*,Q,Y,M,C,z,down
V,L,R,C,*,S,Y,Z,F,c,left
K,T,H,Z,*,M,L,X,C,b,down
X,N,G,Z,*,R,F,C,T,r,left
R,S,P,N,*,T,F,D,X,h,down
H,K,D,B,*,X,Y,J,T,h,left
S,Q,L,C,*,T,V,N,G,f,down
M,V,B,F,*,J,L,G,Z,j,left
V,X,P,F,*,T,C,G,N,z,down
G,B,Y,F,*,K,H,R,Z,h,left
F,Q,K,Z,*,R,V,P,C,s,down
D,Q,Y,X,*,G,S,B,F,f,left
R,C,N,Y,*,F,G,X,H,t,down
M,K,L,B,*,H,C,Y,R,m,left
G,X,B,V,*,L,Z,N,H,p,down
H,B,S,K,*,L,M,T,G,b,left
T,G,F,Q,*,M,C,J,L,y,down
D,X,F,C,*,N,V,Y,R,n,left
Y,B,N,C,*,J,Q,F,P,v,down
Q,S,P,C,*,M,Y,G,B,c,left
J,K,C,D,*,P,S,L,B,z,down
H,Z,S,V,*,M,Y,X,K,h,left
R,H,Z,Q,*,L,J,P,B,y,down
F,V,R,L,*,G,D,X,J,d,left
F,T,J,K,*,G,Q,R,X,c,down
V,X,P,L,*,F,G,H,D,l,left
H,V,N,Z,*,J,L,S,D,k,down
Q,Z,R,B,*,F,Y,N,H,q,left
Y,X,P,Z,*,F,D,B,L,s,down
F,Q,H,M,*,P,V,Y,X,v,left
J,V,F,S,*,Z,G,L,K,n,down
T,S,Z,N,*,X,V,B,Y,x,left
D,C,S,F,*,H,Y,L,Z,k,down
H,J,D,B,*,G,L,Y,M,m,left
S,Z,G,N,*,K,L,Y,P,d,down
P,Q,Y,D,*,R,T,V,N,p,left
S,C,J,G,*,V,T,P,K,q,down
K,T,D,L,*,X,Q,N,V,k,left
M,S,R,Y,*,L,Q,H,F,j,down
D,C,Z,T,*,M,H,Q,L,z,left
S,Z,H,X,*,V,P,Q,Y,c,down
L,J,K,G,*,X,V,S,F,g,left
C,N,H,D,*,V,P,X,Z,s,down
D,M,T,N,*,R,H,V,Y,v,left
B,K,V,R,*,N,Z,S,X,p,down
V,D,X,J,*,N,Z,Y,H,d,left
H,X,D,G,*,K,B,P,J,v,down
R,C,P,Z,*,G,T,L,H,g,left
S,P,K,Q,*,N,Z,J,F,c,down
D,H,K,L,*,M,Y,G,N,h,left
J,Q,R,V,*,P,H,X,L,k,down
X,B,F,K,*,J,H,R,Q,b,left
G,H,Y,F,*,V,N,L,P,c,down
C,Y,S,L,*,J,K,F,Z,z,left
R,P,C,Q,*,J,X,M,D,f,down
P,T,R,V,*,F,G,H,Y,t,left
J,R,T,Y,*,Z,G,N,M,q,down
B,H,V,T,*,R,S,J,X,s,left
D,S,Z,K,*,Q,C,N,T,j,down
R,H,Z,Q,*,C,D,N,L,c,left
C,S,G,B,*,D,V,F,R,x,down
Y,V,H,F,*,Z,Q,P,B,v,left
S,C,J,Z,*,Q,H,T,N,k,down
L,T,V,F,*,Q,J,N,R,t,left
K,C,T,Q,*,Y,L,V,H,b,down
C,X,S,T,*,B,N,H,Z,z,left
S,Y,Q,P,*,Z,F,L,D,c,down
L,R,F,J,*,H,D,C,B,d,left
P,Z,M,C,*,L,V,R,H,y,down
D,V,F,J,*,K,N,S,Z,n,left
F,M,V,G,*,T,C,H,Z,q,down
F,J,K,R,*,S,B,Q,P,f,left
K,T,P,R,*,L,Y,X,J,v,down
X,M,V,C,*,N,K,R,T,n,left
H,Q,M,N,*,J,K,P,D,r,down
K,M,X,Y,*,Q,V,S,N,y,left
R,F,B,T,*,Q,N,D,K,m,down
F,B,V,G,*,P,L,K,T,g,left
S,Y,V,G,*,J,B,Z,M,x,down
F,X,M,R,*,H,N,V,K,n,left
F,T,Z,K,*,B,G,P,J,d,down
V,S,M,Z,*,K,D,T,R,t,left
N,Z,F,C,*,P,R,D,M,j,down
N,V,T,R,*,P,X,Q,S,p,left
F,P,H,L,*,Z,X,J,B,k,down
T,S,G,R,*,C,Y,D,J,y,left
H,P,R,F,*,L,C,G,X,b,down
T,R,N,J,*,K,V,Z,S,r,left
T,D,R,N,*,Q,K,M,F,j,down
D,Y,T,L,*,M,N,K,J,d,left
L,B,S,N,*,M,V,K,Q,r,down
D,C,R,L,*,J,B,N,K,d,left
R,Q,C,X,*,Y,S,J,M,h,down
G,X,R,P,*,L,J,M,Z,z,left
Q,H,V,B,*,X,D,P,G,r,down
B,X,J,C,*,P,K,F,T,p,left
K,L,T,Q,*,M,S,N,J,z,down
K,C,R,D,*,V,N,X,H,k,left
H,Z,P,B,*,R,S,L,M,y,down
L,F,H,T,*,B,P,C,J,f,left
P,R,H,M,*,G,N,Z,D,j,down
V,N,X,R,*,P,Y,G,T,t,left
F,L,C,T,*,K,J,P,V,b,down
Z,K,V,G,*,L,C,X,M,c,left
M,T,R,X,*,Q,L,C,H,z,down
C,P,X,D,*,L,B,Q,M,p,left
L,R,J,S,*,P,B,X,Q,y,down
R,K,X,H,*,M,P,Q,F,x,left
D,J,X,Z,*,T,G,C,R,y,down
X,G,Q,C,*,H,R,F,M,c,left
Y,C,X,R,*,K,M,B,N,z,down
K,F,H,G,*,T,Q,X,L,k,left
V,Y,G,M,*,H,J,B,X,n,down
T,X,K,L,*,F,Z,V,H,l,left
P,Y,L,R,*,T,K,Z,G,j,down
K,J,L,X,*,H,S,M,C,k,left
G,K,B,F,*,C,L,X,T,h,down
K,R,B,J,*,N,C,F,G,j,left
L,G,J,N,*,C,X,K,B,d,down
F,J,B,L,*,R,K,V,X,f,left
M,Z,S,R,*,H,V,Q,T,j,down
Y,N,T,B,*,S,F,H,J,t,left
M,V,Q,F,*,Y,T,X,G,h,down
C,M,V,T,*,L,X,D,Y,t,left
P,B,H,G,*,T,S,Y,N,z,down
Y,D,J,B,*,T,X,F,K,b,left
J,G,D,Z,*,Y,N,K,H,v,down
T,Q,H,K,*,L,X,Y,B,y,left
T,G,R,N,*,Z,K,H,B,d,down
N,S,J,D,*,C,H,Q,M,d,left
G,N,Z,S,*,V,T,L,J,x,down
F,K,C,B,*,H,M,T,D,b,left
P,Z,B,N,*,L,X,Q,M,r,down
B,F,G,Q,*,Z,S,H,M,m,left
F,Y,P,B,*,L,N,S,T,k,down
D,Q,R,N,*,X,Y,L,T,y,left
Y,R,V,L,*,K,G,X,F,m,down
S,Q,Z,X,*,H,P,V,J,x,left
R,J,Y,H,*,Q,K,D,X,z,down
M,D,X,Y,*,L,B,F,J,y,left
D,R,G,X,*,N,K,B,Y,t,down
M,G,C,N,*,T,L,Z,K,g,left
F,Q,M,B,*,X,Z,H,R,j,down
S,D,T,Q,*,Z,N,R,J,s,left
G,L,V,M,*,R,B,F,X,k,down
L,Z,Y,B,*,C,Q,N,D,d,left
G,Q,D,V,*,Z,C,R,T,h,down
R,H,B,L,*,M,Q,N,Z,z,left
L,Z,X,N,*,G,B,H,S,r,down
N,X,G,R,*,V,C,L,F,v,left
H,Q,G,T,*,M,N,D,Y,v,down
H,Z,F,Y,*,S,T,M,C,t,left
V,M,B,X,*,Y,R,F,H,l,down
R,F,L,K,*,B,Y,S,D,f,left
B,D,J,F,*,Y,M,Z,T,h,down
V,Q,D,C,*,M,F,N,T,f,left
M,Q,J,S,*,V,L,D,N,z,down
P,N,V,K,*,Q,Y,Z,L,k,left
R,L,S,Q,*,P,C,M,Z,j,down
D,H,Z,N,*,M,F,R,T,r,left
K,S,T,D,*,F,C,M,L,z,down
S,G,C,Y,*,V,F,Z,H,z,left
K,N,Z,S,*,T,L,H,M,d,down
G,N,J,T,*,X,S,Y,R,n,left
P,D,N,S,*,G,C,K,R,l,down
N,T,H,S,*,X,J,Y,Q,s,left
Y,C,J,M,*,R,K,V,X,z,down
R,G,X,L,*,H,Y,K,D,k,left
V,G,C,F,*,Z,K,T,S,m,down
F,C,N,S,*,D,B,K,P,k,left
D,L,X,V,*,P,R,Z,B,g,down
L,Y,H,V,*,K,D,X,N,h,left
T,B,Y,P,*,L,Z,C,S,h,down
R,S,J,Y,*,L,P,Q,N,s,left
V,J,L,Z,*,X,K,Q,C,n,down
B,M,Q,F,*,S,G,L,P,p,left
Y,D,B,K,*,C,F,S,M,n,down
M,L,R,Q,*,G,Y,V,P,g,left
R,J,C,N,*,K,G,S,P,q,down
M,X,G,H,*,R,F,S,Q,s,left
T,X,D,L,*,Y,P,S,J,q,down
C,F,Y,B,*,S,T,Q,X,s,left
R,K,J,S,*,C,G,N,Y,v,down
C,G,L,Z,*,T,Y,Q,F,l,left
C,K,N,B,*,Z,T,H,D,l,down
S,N,Q,Z,*,T,J,F,C,q,left
Y,D,G,K,*,X,C,F,N,h,down
P,K,J,B,*,T,M,F,C,b,left
D,Z,K,T,*,M,V,X,L,b,down
D,R,L,N,*,J,Z,Y,B,d,left
J,V,Y,F,*,K,D,G,T,h,down
F,Q,Z,X,*,B,S,K,P,s,left
D,J,N,H,*,R,F,Q,C,p,down
Z,B,J,P,*,G,Y,V,L,y,left
S,F,X,G,*,P,B,Y,R,z,down
R,M,G,Z,*,J,L,C,P,j,left
G,S,F,P,*,H,T,L,Z,r,down
N,R,D,K,*,G,T,F,S,s,left
Z,R,B,V,*,S,M,Y,X,t,down
M,Z,N,B,*,T,X,K,D,k,left
T,G,Q,S,*,M,J,B,N,f,down
B,R,C,D,*,P,V,H,X,b,left
S,Q,R,Z,*,H,T,G,P,k,down
N,R,K,F,*,J,Y,V,Q,j,left
N,X,Y,T,*,F,H,D,G,j,down
S,T,Y,N,*,M,F,B,X,m,left
Q,P,N,H,*,J,K,S,R,f,down
F,J,Z,B,*,N,C,K,X,c,left
J,C,T,R,*,N,Z,X,B,f,down
M,S,L,H,*,X,Y,T,G,x,left
F,H,B,N,*,J,T,Q,R,k,down
J,Q,M,N,*,B,R,Y,S,n,left
D,X,V,M,*,B,Y,L,R,c,down
Q,R,V,D,*,K,G,P,S,k,left
Y,J,K,L,*,S,F,T,X,z,down
H,N,R,J,*,F,M,G,X,h,left
D,B,S,L,*,Y,Z,G,N,t,down
Y,Q,R,N,*,G,X,T,S,g,left
T,K,B,Y,*,Z,M,H,G,n,down
M,S,V,J,*,T,Z,C,R,t,left
X,L,N,Z,*,T,B,D,J,p,down
X,S,K,M,*,V,Z,G,D,k,left
Q,T,X,M,*,V,B,G,Z,r,down
M,K,Z,R,*,L,H,V,N,l,left
H,S,Q,J,*,V,X,N,T,c,down
K,Y,C,H,*,P,J,L,F,k,left
X,M,N,Q,*,J,F,L,D,k,down
F,Z,B,H,*,T,N,J,M,b,left
Q,M,D,K,*,H,L,N,V,r,down
M,Z,H,P,*,X,Y,C,G,z,left
V,S,C,R,*,B,N,Y,H,f,down
H,Q,Y,V,*,X,F,Z,J,j,left
J,Y,B,M,*,K,G,H,L,r,down
C,K,S,R,*,T,X,Q,V,t,left
B,K,R,L,*,Q,F,G,C,h,down
G,V,R,D,*,F,Y,N,S,r,left
N,Q,F,Y,*,S,C,G,B,p,down
X,V,K,N,*,M,P,L,S,s,left
T,V,B,M,*,G,F,D,C,j,down
Z,X,B,K,*,N,V,G,R,r,left
X,Q,J,R,*,C,H,N,F,k,down
G,Y,Q,Z,*,F,C,K,J,y,left
H,V,P,F,*,L,G,S,R,n,down
N,B,R,J,*,D,K,X,Q,k,left
M,C,G,Q,*,J,V,X,B,p,down
K,J,Y,Q,*,F,R,P,V,j,left
S,V,P,C,*,R,G,F,N,h,down
F,H,Z,N,*,P,X,V,Q,q,left
F,R,Z,K,*,T,P,M,B,l,down
T,D,J,N,*,M,S,C,P,p,left
D,G,M,Q,*,Z,B,N,L,r,down
N,D,F,J,*,T,Q,C,H,f,left
V,P,Z,B,*,L,C,F,R,h,down
R,X,N,P,*,C,J,T,Z,n,left
C,H,V,K,*,T,J,F,D,r,down
L,J,N,Q,*,D,M,K,P,k,left
R,V,C,X,*,Q,G,Z,H,k,down
H,F,X,Q,*,K,M,C,V,q,left
X,L,S,K,*,V,N,Z,J,q,down
F,G,Y,R,*,K,S,M,B,s,left
S,K,T,D,*,B,G,L,N,r,down
D,T,V,J,*,F,X,C,H,x,left
N,F,R,K,*,Z,Q,D,C,h,down
X,D,Q,H,*,Y,P,G,J,g,left
L,V,C,J,*,Q,R,B,X,d,down
J,M,X,F,*,S,T,R,G,j,left
P,N,V,T,*,X,K,H,C,l,down
J,Z,N,M,*,D,F,L,K,m,left
K,Z,Q,J,*,Y,V,D,S,c,down
R,F,D,G,*,L,J,M,K,f,left
X,Z,P,Y,*,R,B,V,M,q,down
G,Q,Y,Z,*,P,M,L,K,z,left
N,Y,F,G,*,J,D,X,T,h,down
B,L,S,X,*,H,M,F,G,s,left
S,P,K,L,*,Q,Y,J,N,f,down
Z,S,D,Y,*,J,K,B,N,n,left
Y,S,C,Z,*,F,J,V,Q,x,down
J,Z,S,N,*,G,B,M,H,n,left
B,Y,Q,R,*,M,Z,N,T,d,down
C,R,H,X,*,T,M,N,Q,n,left
N,Q,Y,B,*,C,P,Z,V,t,down
F,N,Z,J,*,X,D,S,H,s,left
R,T,J,C,*,V,S,L,N,b,down
V,N,H,G,*,Q,F,S,X,v,left
C,J,R,T,*,K,Y,G,D,x,down
J,P,Y,G,*,N,Z,B,R,b,left
F,L,K,Y,*,Z,Q,N,G,h,down
Y,C,D,P,*,Z,X,G,J,j,left
M,H,T,X,*,F,V,P,S,b,down
Z,P,Q,Y,*,G,K,B,D,q,left
R,F,J,C,*,L,P,H,V,k,down
S,Z,L,K,*,M,N,C,V,m,left
B,S,N,V,*,J,P,Y,Q,t,down
J,B,R,D,*,Q,Y,L,V,y,left
C,X,Y,Z,*,Q,T,P,L,d,down
P,D,C,S,*,T,J,K,R,p,left
Z,G,C,Y,*,L,N,J,R,p,down
R,X,G,H,*,Y,Q,Z,S,q,left
T,L,S,J,*,Z,B,C,Q,d,down
P,Y,G,T,*,N,L,R,Q,p,left
H,M,N,X,*,T,D,B,Z,q,down
B,L,S,Z,*,G,X,T,H,t,left
S,N,R,K,*,Z,Q,D,B,l,down
Z,Y,C,F,*,R,T,M,N,y,left
Q,D,F,X,*,H,R,K,T,m,down
H,N,L,C,*,F,G,D,X,l,left
L,P,Q,X,*,S,Z,D,Y,n,down
F,T,X,L,*,K,J,Y,B,b,left
G,Q,B,C,*,R,T,X,V,p,down
L,Z,C,K,*,T,B,X,M,c,left
Q,B,P,J,*,L,F,N,H,t,down
N,F,K,P,*,Y,R,T,C,n,left
S,B,D,K,*,G,Y,X,T,p,down
H,N,V,S,*,G,Z,F,K,k,left
S,B,N,M,*,Y,C,H,Z,g,down
T,Q,X,V,*,G,H,P,N,n,left
L,Y,N,F,*,C,H,P,X,v,down
H,J,T,X,*,V,Z,Y,B,y,left
Y,T,V,F,*,K,D,M,G,r,down
S,K,T,V,*,N,F,J,L,j,left
P,C,M,N,*,T,G,S,Q,l,down
R,N,Z,T,*,L,P,M,K,n,left
L,T,J,X,*,B,N,Q,G,r,down
Y,R,H,T,*,C,G,F,V,r,left
Q,F,J,D,*,R,B,T,V,m,down
L,P,T,Z,*,H,Y,N,J,p,left
D,J,X,H,*,L,C,R,S,m,down
V,L,T,J,*,D,C,B,N,c,left
Q,T,P,J,*,B,C,X,V,z,down
Y,N,R,H,*,T,C,V,P,t,left
Y,G,N,B,*,L,X,Q,C,d,down
G,Y,M,J,*,S,T,F,D,j,left
N,G,S,R,*,C,V,X,M,k,down
N,Y,D,Q,*,V,R,X,K,n,left
T,Q,Z,R,*,F,Y,V,P,b,down
T,F,C,D,*,R,G,L,M,d,left
Q,B,H,M,*,S,R,X,N,j,down
V,T,C,F,*,G,Y,N,J,v,left
S,B,R,X,*,C,V,N,M,g,down
L,T,H,V,*,B,Z,R,J,b,left
J,V,L,Q,*,N,F,B,S,r,down
K,Y,Q,J,*,X,D,N,L,n,left
C,X,B,M,*,J,H,P,R,d,down
G,B,P,Y,*,K,V,N,H,p,left
G,B,V,C,*,F,D,L,Y,x,down
L,S,T,P,*,F,R,Y,B,t,left
Q,B,G,L,*,H,M,K,V,n,down
Q,M,G,H,*,J,Z,V,S,v,left
D,S,G,J,*,Z,P,C,Y,f,down
X,J,P,L,*,V,Q,H,T,h,left
N,S,K,P,*,M,R,Q,G,y,down
C,S,J,N,*,X,V,Y,Z,c,left
L,H,S,G,*,M,N,B,J,p,down
Z,G,M,K,*,Y,N,L,H,m,left
V,N,Y,T,*,Q,G,J,X,l,down
X,J,Y,V,*,R,T,G,F,v,left
G,S,H,Q,*,N,C,F,K,l,down
J,K,Z,D,*,N,H,G,F,f,left
J,V,H,L,*,T,Q,K,Z,d,down
P,T,Y,R,*,J,G,F,C,y,left
C,N,D,J,*,M,F,P,V,r,down
R,J,N,M,*,D,S,F,L,n,left
P,N,R,H,*,T,M,C,Z,k,down
C,D,L,F,*,Y,T,V,G,g,left
Y,Q,N,C,*,R,J,L,H,x,down
R,H,P,Y,*,B,N,D,Q,d,left
J,Y,F,X,*,Q,D,B,P,r,down
D,C,L,Z,*,R,Y,S,X,l,left
J,X,N,Y,*,H,C,D,K,m,down
F,K,C,Z,*,R,S,D,P,k,left
L,X,T,C,*,Y,B,Z,H,f,down
D,Q,H,T,*,C,M,J,X,d,left
K,R,V,X,*,Q,M,C,D,n,down
N,S,R,G,*,Q,C,P,L,q,left
P,S,J,M,*,Y,D,K,B,h,down
G,H,L,R,*,Q,N,C,V,h,left
M,T,C,V,*,D,R,Z,J,p,down
D,J,H,V,*,Y,M,F,P,y,left
D,S,N,R,*,J,Z,Y,X,c,down
B,L,J,N,*,Y,C,Q,S,c,left
R,P,B,Y,*,V,C,N,X,j,down
Q,B,V,L,*,C,Y,Z,N,q,left
