TL,TM,TR,CL,CM,CR,BL,BM,BR,probe,corr
Z,Y,T,L,D,R,F,J,P,h,down
X,P,M,D,Q,G,S,J,L,j,left
H,X,M,K,C,G,Z,B,V,p,down
P,G,R,S,C,N,Y,T,Q,g,left
B,R,Y,G,T,K,Q,P,S,j,down
L,J,X,V,F,D,G,Q,Y,j,left
H,J,X,Q,K,B,N,C,D,l,down
T,C,V,Z,H,P,N,D,X,c,left
C,K,L,J,R,N,P,Z,G,h,down
L,T,F,X,M,D,B,J,K,m,left
P,X,K,V,Z,Y,J,D,C,m,down
G,S,H,C,Y,L,K,V,X,h,left
F,K,Y,C,M,Z,P,J,V,t,down
D,X,J,T,K,Q,P,C,N,t,left
B,H,F,P,R,J,Z,Q,G,d,down
V,M,L,G,C,F,Y,Q,X,v,left
M,Y,D,C,R,Z,X,L,N,s,down
F,X,K,Z,Q,G,D,H,C,d,left
P,R,S,V,Z,G,C,M,K,y,down
R,L,V,K,Q,T,S,P,Z,p,left
V,D,M,C,K,Z,R,J,Y,f,down
M,S,L,N,H,K,G,D,R,s,left
M,P,G,Z,L,K,Y,N,F,j,down
D,R,J,S,T,X,G,H,M,r,left
D,L,C,B,K,Q,P,G,X,s,down
X,S,H,Q,J,Z,R,N,G,j,left
V,Z,D,P,C,B,N,T,R,k,down
T,F,S,G,R,K,M,Z,H,h,left
P,V,Z,Q,L,F,S,R,D,g,down
R,C,T,S,Q,M,H,B,P,r,left
S,N,D,G,P,J,M,V,L,x,down
R,L,Y,K,T,S,N,V,D,l,left
Q,N,H,F,Z,S,M,L,R,k,down
B,R,Z,C,D,G,M,H,P,r,left
K,F,L,J,S,Q,H,M,P,z,down
J,C,H,R,Y,K,Z,Q,T,c,left
L,F,X,S,Q,V,C,T,M,z,down
K,B,P,Q,G,T,M,H,X,k,left
P,K,B,G,Y,X,L,V,J,s,down
F,J,P,L,V,M,K,T,R,j,left
M,T,Y,J,Z,B,G,D,Q,s,down
S,Y,N,Q,J,Z,V,X,M,x,left
M,N,P,Q,R,T,B,Z,J,c,down
Y,K,G,H,J,C,R,P,D,j,left
K,Z,P,N,R,X,V,B,M,f,down
Z,P,H,J,R,V,G,B,Y,y,left
H,L,C,T,S,J,F,G,X,b,down
D,Z,F,Q,B,P,V,T,N,v,left
T,C,F,J,B,L,M,P,V,h,down
Z,H,B,M,V,P,X,C,Q,m,left
C,J,G,Z,N,D,B,M,X,p,down
Z,T,F,J,K,S,N,D,Y,n,left
F,X,J,V,M,S,Z,Q,D,c,down
B,Y,G,N,C,R,K,Z,P,r,left
D,R,H,N,X,L,J,B,G,m,down
V,Z,G,Y,H,Q,S,J,B,q,left
L,S,Y,K,V,Q,T,R,X,z,down
Y,C,Q,Z,D,V,K,P,X,x,left
C,X,N,T,P,G,Y,B,S,j,down
T,S,X,G,P,M,R,L,V,r,left
T,N,B,Q,S,R,L,H,M,z,down
J,Z,D,Y,P,H,S,M,C,p,left
J,T,H,G,F,Y,M,Q,C,k,down
M,Q,S,B,X,F,N,H,T,s,left
L,N,Y,Q,B,Z,D,P,R,k,down
J,M,D,T,K,F,G,C,V,d,left
D,X,N,S,J,Y,P,T,L,q,down
S,H,D,B,M,J,V,C,P,v,left
G,S,N,H,Y,V,T,F,L,d,down
S,R,V,L,G,C,K,Z,Q,z,left
K,G,D,L,C,T,X,Q,Z,h,down
F,L,S,T,N,K,Q,H,M,h,left
T,D,P,H,Z,V,R,M,L,c,down
M,V,Y,C,G,D,F,Z,X,f,left
K,Z,X,J,C,H,M,B,D,q,down
V,F,S,P,K,G,M,T,L,f,left
R,P,J,D,V,T,G,M,L,k,down
X,F,V,H,D,C,K,R,L,c,left
X,R,P,J,V,N,G,M,L,b,down
B,Q,J,D,P,T,Y,G,X,b,left
X,J,T,Q,R,P,V,Z,H,g,down
G,Q,F,T,X,S,C,Y,N,y,left
T,Z,H,F,B,P,S,K,V,y,down
G,J,S,V,H,L,B,K,C,v,left
P,L,F,T,D,N,K,X,J,q,down
J,N,K,Y,B,Q,H,P,L,p,left
F,D,V,Y,H,N,X,C,P,k,down
V,J,Y,S,C,R,Q,P,Z,s,left
B,P,T,S,M,F,K,L,G,h,down
K,X,D,Y,G,S,Z,P,C,k,left
D,L,N,S,R,K,Q,Z,Y,f,down
J,Z,B,S,H,C,G,R,V,g,left
N,F,R,G,S,H,L,D,V,q,down
S,G,B,P,L,D,Y,Z,Q,q,left
D,C,L,V,T,N,G,Q,X,j,down
M,Z,N,T,D,R,J,L,H,m,left
M,Z,J,B,V,X,H,T,K,g,down
K,S,C,X,J,H,V,L,R,v,left
J,R,F,H,Y,D,Z,V,K,l,down
Z,H,L,G,D,F,M,C,P,z,left
G,H,N,Y,C,B,F,V,P,x,down
B,R,Y,N,S,K,Q,T,F,f,left
S,Y,D,H,K,X,T,Z,F,v,down
G,Q,C,D,P,B,M,S,N,p,left
N,S,L,M,H,F,K,Z,C,y,down
T,C,Y,H,J,X,Q,D,N,d,left
M,G,Z,F,B,D,X,R,L,s,down
D,Q,H,X,S,N,Z,K,B,s,left
X,Z,J,D,R,Q,S,T,K,n,down
S,P,D,R,Y,J,V,K,N,y,left
K,Y,N,Q,G,S,R,F,V,l,down
K,Q,G,B,D,M,T,F,H,m,left
Q,B,G,X,V,P,T,N,H,y,down
B,H,C,Q,L,Y,D,Z,G,y,left
S,P,Z,T,H,R,G,X,D,m,down
M,T,B,Y,L,K,P,N,J,m,left
K,J,Y,Z,Q,C,X,V,D,n,down
G,B,V,X,K,R,T,C,J,t,left
H,Q,M,L,R,C,D,K,Z,f,down
G,Q,P,T,V,D,H,X,Z,x,left
F,B,L,S,X,J,G,R,N,d,down
M,Y,Q,K,H,R,L,J,X,q,left
V,S,B,Z,Q,P,F,J,R,n,down
X,R,F,D,M,B,T,K,J,j,left
S,Y,V,H,M,N,J,R,G,p,down
M,F,B,Q,K,Z,J,Y,N,y,left
F,B,D,J,Y,L,R,Q,K,t,down
G,H,K,R,Q,D,V,F,Z,v,left
Q,D,Y,V,X,J,Z,N,R,b,down
N,L,F,D,G,P,Q,M,J,p,left
X,K,T,B,M,V,J,D,F,h,down
Z,S,Y,P,F,D,B,V,G,p,left
G,Y,B,J,T,Q,F,X,D,p,down
X,N,K,B,F,P,T,R,Y,p,left
H,G,J,S,M,T,N,B,Z,k,down
S,Q,G,D,M,J,Y,L,N,y,left
P,V,X,Q,Z,Y,D,G,S,l,down
J,P,V,Q,Y,B,M,R,N,b,left
Z,N,Q,X,H,P,J,F,S,d,down
Y,N,M,P,S,H,D,R,T,h,left
M,P,B,C,G,Z,F,T,X,v,down
V,B,X,M,Y,C,P,L,F,y,left
P,C,R,Y,J,F,S,X,M,l,down
H,P,C,R,K,B,Q,M,D,q,left
N,J,F,G,R,T,H,S,V,p,down
M,S,K,F,Q,C,V,P,L,l,left
C,N,P,S,R,F,K,V,D,h,down
K,Z,T,D,P,C,V,B,M,k,left
Z,Y,B,L,T,G,S,Q,V,n,down
Z,X,T,N,B,D,C,S,R,d,left
L,G,P,N,R,C,Q,V,B,z,down
G,Y,P,B,D,S,R,L,N,r,left
J,Y,Z,B,Q,C,D,R,T,n,down
P,Q,H,T,G,C,X,L,J,q,left
R,H,C,G,Y,X,V,M,D,z,down
F,R,B,T,X,C,V,J,L,v,left
Y,H,N,R,P,D,V,C,Z,f,down
P,F,L,Z,V,Y,S,N,T,s,left
G,V,D,T,K,H,Y,N,Z,m,down
T,Y,F,D,S,J,C,R,H,r,left
Q,G,R,M,S,V,Y,N,X,p,down
M,V,C,J,L,K,R,X,T,k,left
V,L,J,P,D,M,Q,T,B,h,down
Z,P,D,R,H,C,S,L,G,h,left
F,N,C,D,B,J,G,V,P,q,down
P,G,M,C,K,R,Y,D,Z,g,left
S,P,Q,R,M,Y,X,J,D,b,down
K,Z,F,Q,R,J,H,X,C,r,left
R,F,X,G,J,K,M,Q,S,h,down
R,C,P,Y,S,V,H,T,Q,r,left
C,J,T,P,M,Z,N,Q,D,y,down
J,Z,L,T,C,F,P,S,X,s,left
Y,C,Z,V,R,M,H,Q,K,b,down
Z,Y,J,N,M,Q,X,R,L,m,left
M,B,C,D,T,P,K,Z,Q,x,down
L,J,C,N,F,G,T,Q,M,f,left
L,N,J,T,Z,C,S,G,Q,x,down
S,T,N,B,F,R,Y,Q,X,f,left
C,H,S,Q,V,Z,B,F,K,l,down
Q,M,J,S,N,D,C,Y,H,c,left
F,J,G,C,Z,Y,H,K,N,x,down
X,C,K,H,R,T,P,Y,Q,y,left
X,H,R,L,V,P,S,M,G,k,down
Y,R,G,V,N,Z,H,F,D,d,left
X,C,Y,G,K,N,V,J,F,t,down
C,M,X,Y,J,D,P,B,H,x,left
X,V,F,Y,B,Q,J,S,R,k,down
F,G,D,C,Q,X,H,J,V,x,left
M,D,Q,V,R,J,F,L,B,s,down
K,D,C,F,L,G,X,R,S,r,left
D,V,K,L,N,F,M,T,J,r,down
K,J,H,M,B,F,Q,S,N,n,left
G,T,L,D,J,Q,K,N,H,r,down
J,T,Q,X,F,C,H,R,M,x,left
L,D,P,C,F,H,N,V,Y,g,down
K,R,Z,H,T,Q,B,J,M,t,left
L,J,C,D,G,P,R,Y,F,k,down
K,L,H,R,F,D,M,Z,P,h,left
Y,C,X,Q,Z,S,M,K,H,g,down
T,B,N,V,F,X,J,D,K,d,left
T,H,Y,Z,J,L,V,C,F,x,down
Y,H,V,B,X,R,D,M,L,x,left
G,S,V,Q,X,K,M,N,B,z,down
S,Q,B,P,V,Z,Y,G,M,v,left
H,F,J,T,L,C,R,N,X,q,down
X,H,F,T,N,R,M,P,B,t,left
K,P,Y,V,J,L,N,B,T,z,down
K,Y,J,P,N,T,R,X,M,m,left
R,N,M,B,G,F,Z,H,Y,q,down
H,B,S,V,C,N,Q,D,L,h,left
Z,C,D,B,S,X,J,H,Q,t,down
R,V,F,S,D,P,Q,G,X,r,left
S,J,R,T,Y,Z,F,B,G,v,down
Q,R,X,F,K,N,Y,H,B,r,left
S,H,J,F,V,T,P,X,M,n,down
G,Z,T,D,R,Q,V,P,F,t,left
R,N,L,X,P,Z,F,M,B,h,down
R,M,X,F,Y,N,L,H,G,m,left
V,S,Z,D,C,X,N,G,F,j,down
X,B,K,L,C,T,R,H,Y,t,left
K,Y,F,H,R,J,S,C,P,z,down
G,P,C,S,N,Q,F,T,X,t,left
M,J,F,Y,C,B,X,T,R,p,down
X,B,F,N,C,R,T,M,D,f,left
X,D,G,K,L,F,T,N,Z,j,down
J,K,H,Q,R,N,P,Y,T,q,left
R,N,V,X,J,T,G,M,C,s,down
S,D,B,P,Z,M,T,J,K,s,left
F,B,M,P,J,K,Y,N,Z,g,down
F,C,Y,K,H,T,B,P,Z,p,left
L,Z,Y,Q,M,S,X,P,R,n,down
K,X,M,R,Z,D,T,H,N,x,left
Q,H,Z,Y,P,R,V,J,D,s,down
B,X,M,C,T,S,Y,J,K,x,left
C,R,N,S,G,P,X,F,Y,h,down
S,J,X,Y,F,Q,M,N,H,h,left
H,D,B,X,C,M,S,K,Z,r,down
V,M,P,C,F,N,T,D,R,v,left
H,J,X,L,S,V,M,R,T,f,down
L,H,D,M,Y,Q,G,K,V,l,left
Z,H,J,P,C,F,D,K,G,r,down
Z,R,D,F,T,X,P,B,Q,f,left
H,P,V,M,K,Z,G,R,Y,c,down
H,S,L,F,Q,J,G,Y,Z,q,left
Z,M,N,P,R,F,K,C,X,d,down
Z,J,T,D,Q,S,B,G,V,j,left
C,T,R,Q,N,L,P,D,J,v,down
D,Q,L,N,Z,C,P,R,B,l,left
J,V,T,F,D,M,R,K,H,g,down
N,T,K,V,L,Z,S,Q,D,k,left
T,Z,C,S,H,F,Q,R,P,n,down
Y,F,C,Q,X,R,P,G,M,g,left
P,T,K,M,V,Q,G,R,Y,z,down
Y,Z,T,H,K,B,M,F,J,h,left
C,X,Y,S,V,L,G,H,Q,k,down
S,G,B,H,P,Q,L,F,N,l,left
T,X,M,H,B,D,Q,C,N,p,down
Y,C,R,B,Q,J,D,Z,G,b,left
V,J,K,M,D,F,Z,N,S,g,down
N,Q,R,S,C,B,L,D,H,d,left
L,B,D,Q,P,G,K,H,T,s,down
G,K,P,J,T,Z,D,C,X,x,left
J,X,K,Q,M,L,V,T,R,c,down
D,J,B,F,L,G,H,T,R,g,left
F,S,H,L,N,X,T,R,G,d,down
H,P,Q,S,T,X,G,R,M,r,left
T,B,L,F,G,V,Z,X,M,k,down
X,T,J,D,Q,B,Z,H,L,t,left
V,T,K,G,B,C,N,X,P,d,down
C,G,R,Q,F,P,J,T,N,f,left
M,J,Z,S,H,V,G,X,D,t,down
G,D,R,S,T,C,B,Q,Z,t,left
Z,H,G,M,C,Q,R,D,L,f,down
R,L,K,Y,B,J,M,G,C,l,left
F,L,D,N,J,K,X,G,S,t,down
G,R,Q,P,D,N,V,S,L,q,left
F,C,J,X,M,V,T,K,Z,h,down
R,N,P,M,T,S,V,J,L,p,left
Y,R,F,N,C,D,Z,M,T,g,down
Y,T,B,K,H,J,P,L,M,p,left
S,C,Z,Y,H,J,P,T,F,d,down
K,G,F,N,Y,R,B,Z,Q,n,left
Z,P,R,J,K,Q,Y,F,M,h,down
J,Q,S,V,C,T,M,L,F,l,left
Z,S,N,M,F,T,P,D,J,r,down
K,Y,X,H,F,G,C,Z,M,f,left
T,X,N,V,B,Z,L,J,C,k,down
M,B,H,K,R,Z,Y,X,J,h,left
J,H,K,C,P,Z,L,X,Q,n,down
L,K,X,Q,R,D,Z,F,P,r,left
C,H,Q,G,Z,T,F,B,K,n,down
Y,D,Q,P,V,S,M,G,J,v,left
H,G,T,Z,Q,N,S,D,V,p,down
H,M,X,P,R,B,Y,S,Q,s,left
C,D,F,Y,V,H,G,S,B,k,down
Z,Q,Y,N,T,K,H,M,R,h,left
C,K,F,X,H,L,V,Y,B,m,down
Z,L,H,K,B,M,Q,D,N,k,left
D,B,T,P,L,Y,F,M,N,x,down
M,Z,F,N,R,H,G,J,Y,n,left
H,L,Y,X,M,G,P,V,C,k,down
Y,M,X,V,Q,D,H,N,S,h,left
P,L,Y,H,S,Q,J,Z,G,b,down
L,B,S,J,H,P,Q,C,V,b,left
T,M,X,L,J,P,Q,C,H,r,down
L,F,Z,T,Y,C,H,V,M,l,left
C,L,Z,Y,D,Q,X,F,B,s,down
J,K,L,T,S,P,C,V,B,l,left
D,Z,L,V,C,B,S,F,H,t,down
B,P,X,M,N,G,R,Y,S,g,left
S,H,T,J,G,Y,L,B,C,p,down
S,J,N,T,B,C,K,X,P,n,left
J,B,L,N,Z,X,F,K,R,v,down
T,L,X,N,Q,C,V,R,J,l,left
H,R,Z,M,X,C,K,L,N,t,down
Z,V,Y,P,M,T,H,B,S,t,left
X,L,H,S,B,G,J,T,Y,q,down
Z,N,M,V,F,S,D,T,Q,d,left
B,X,J,H,R,D,Y,S,C,f,down
V,D,Z,F,Q,C,B,T,P,q,left
H,B,R,Y,G,D,P,Q,K,s,down
P,F,H,Y,M,D,Z,N,L,n,left
J,C,T,Q,G,F,V,D,R,z,down
S,H,R,V,G,J,C,F,N,f,left
D,J,Y,V,P,F,S,C,M,g,down
M,G,Q,F,N,Z,R,K,Y,g,left
V,X,C,N,M,K,D,J,Q,g,down
M,P,Y,S,G,N,L,K,F,n,left
D,R,H,M,L,C,V,Z,B,j,down
H,J,D,F,R,P,X,G,K,k,left
Y,Q,B,H,S,F,R,T,G,j,down
Z,Y,B,L,M,D,R,S,V,b,left
B,C,G,Z,M,J,L,F,D,s,down
Z,N,P,F,Q,M,Y,V,J,n,left
Z,R,G,M,S,B,K,X,J,p,down
Y,V,Z,X,R,S,L,G,Q,q,left
R,K,Q,X,Y,S,Z,C,D,t,down
Q,J,H,M,S,Y,V,D,K,q,left
T,M,H,B,D,Z,L,C,J,v,down
T,S,V,F,L,Z,R,M,B,l,left
T,M,S,B,C,J,G,V,K,z,down
G,C,K,T,D,L,S,Q,F,s,left
H,P,G,B,S,X,R,M,Q,y,down
L,H,K,S,Z,R,C,F,B,h,left
P,V,G,B,T,X,S,R,N,j,down
P,Z,M,C,S,R,Y,X,T,s,left
H,M,V,X,G,Y,P,N,K,j,down
L,X,V,B,Q,M,P,N,T,q,left
N,S,F,K,Z,B,Y,R,H,m,down
F,R,K,Q,H,D,T,J,S,f,left
R,Z,T,L,B,M,F,D,X,n,down
N,S,H,P,Y,F,V,G,T,h,left
T,P,F,B,X,Q,Y,K,R,g,down
T,C,Q,M,B,J,L,G,H,j,left
J,R,X,Z,G,D,F,K,B,p,down
Q,F,J,C,B,N,R,D,Y,j,left
L,R,J,P,C,V,H,G,Z,f,down
F,K,T,Y,L,S,D,X,C,d,left
G,Q,N,H,B,J,R,K,D,f,down
C,V,Q,S,K,T,R,F,M,v,left
S,Y,F,B,Z,G,N,V,R,d,down
H,D,T,Y,V,X,L,Z,S,x,left
Q,V,L,D,B,N,Z,K,J,t,down
Z,K,D,R,B,V,M,J,P,p,left
F,H,N,Z,L,D,Y,P,G,r,down
Q,B,X,Y,L,K,R,Z,J,x,left
J,H,Q,D,L,V,R,K,N,c,down
P,B,Z,Q,F,R,Y,H,M,p,left
Y,F,B,K,T,V,J,Q,C,x,down
P,D,X,Z,G,M,F,Q,J,g,left
L,M,K,C,F,J,Q,V,X,s,down
Y,X,D,K,N,F,T,M,P,d,left
X,Y,M,R,K,F,Q,L,B,p,down
N,Q,M,L,D,F,C,H,Y,h,left
S,F,Q,H,R,T,D,N,X,z,down
P,L,Y,H,F,B,X,K,R,y,left
F,V,H,R,G,L,T,S,N,m,down
Q,M,R,P,L,X,Z,J,C,m,left
Y,H,L,B,R,M,V,P,T,z,down
T,H,F,X,M,B,R,J,V,v,left
H,T,X,F,G,C,B,P,L,n,down
P,G,Y,J,L,Q,B,H,D,p,left
F,X,B,P,K,N,L,J,Z,v,down
Q,L,G,X,S,J,H,T,Y,x,left
B,N,Y,D,P,K,G,H,Z,v,down
S,J,L,G,X,T,M,B,N,m,left
B,C,Z,M,Q,G,L,N,S,x,down
G,B,T,K,H,L,Q,Z,V,q,left
F,B,Q,D,P,M,J,X,N,z,down
Q,G,Y,X,Z,M,K,B,D,q,left
V,Y,B,L,Q,H,X,N,R,t,down
P,Y,J,S,M,X,Z,V,F,y,left
T,X,P,B,L,Y,K,Q,J,g,down
N,D,Q,Z,X,M,J,F,P,j,left
Y,S,T,K,L,V,D,R,B,m,down
V,H,K,L,P,G,F,S,D,p,left
D,Z,F,B,X,P,Y,J,Q,r,down
K,Q,P,R,T,S,X,M,H,h,left
Q,D,X,Z,M,H,S,P,G,k,down
H,F,V,M,L,J,Z,Q,C,q,left
B,K,N,L,M,T,V,J,Z,s,down
M,T,Z,X,L,P,B,D,S,s,left
C,V,T,P,L,G,K,Y,N,q,down
J,H,C,M,D,P,X,N,K,c,left
L,B,P,Z,K,G,T,R,J,s,down
P,G,B,R,F,J,V,D,S,p,left
L,V,G,M,Y,J,F,P,R,s,down
Y,D,B,X,Q,H,P,F,C,p,left
P,N,Z,K,Y,G,H,S,M,q,down
K,C,V,G,S,N,Z,F,J,g,left
Y,Q,T,G,H,M,Z,N,C,l,down
Z,P,R,Q,N,G,B,K,X,p,left
M,S,F,L,Y,C,B,N,R,g,down
R,G,J,C,Q,H,B,N,Y,h,left
V,Z,M,S,X,P,C,N,J,q,down
B,Y,N,V,S,H,M,Z,P,b,left
P,D,J,C,Q,H,L,R,G,n,down
J,B,R,V,X,P,Y,M,T,v,left
M,F,H,R,N,G,S,K,V,p,down
F,N,P,C,B,X,D,T,Y,y,left
C,Y,D,B,G,T,H,Z,S,l,down
G,F,S,Z,V,J,B,X,R,v,left
P,L,F,S,C,G,Q,Z,K,m,down
T,Y,J,H,M,D,P,V,X,h,left
Z,M,V,K,H,C,R,L,Y,n,down
Y,F,L,G,P,N,Q,M,V,g,left
F,P,Y,V,N,D,H,B,R,j,down
J,V,H,G,Y,T,Z,F,Q,y,left
Y,X,G,T,C,J,Z,B,S,v,down
F,B,R,C,J,S,V,Z,Q,v,left
X,M,P,N,T,G,Z,F,K,b,down
C,B,R,J,H,T,Z,Y,D,d,left
D,J,C,N,G,T,V,X,S,b,down
G,B,V,Z,M,J,C,Q,F,g,left
J,T,Q,Z,R,K,S,P,B,g,down
R,F,X,K,G,S,V,Z,C,k,left
Q,N,B,X,T,S,J,C,K,r,down
M,Z,K,G,R,N,V,Y,L,n,left
C,Z,D,F,J,B,P,R,K,t,down
S,L,M,D,X,B,G,Y,T,x,left
B,Y,Q,K,Z,M,J,D,T,g,down
C,D,M,V,X,F,T,Z,G,c,left
M,T,X,R,Y,V,D,N,L,s,down
J,G,H,C,Y,B,T,Z,V,v,left
L,C,Y,S,P,F,J,R,Z,d,down
M,T,X,S,H,V,D,K,Y,y,left
S,X,M,B,F,C,Y,V,H,r,down
T,C,B,R,J,M,L,Q,H,t,left
F,N,P,X,B,D,K,Y,Q,m,down
F,X,L,M,N,D,Y,Q,S,f,left
Q,K,R,M,N,L,H,C,T,g,down
Y,F,X,M,D,Q,P,L,R,l,left
D,C,G,Y,R,K,Q,J,B,t,down
P,H,Y,F,Z,B,S,D,T,y,left
Q,L,F,R,H,C,G,Y,V,t,down
D,G,M,S,R,C,Y,N,Q,m,left
C,K,L,X,G,J,F,Z,T,v,down
R,V,G,B,Z,N,M,X,D,d,left
N,B,C,F,L,P,V,H,Z,x,down
C,T,Z,R,G,Y,S,Q,F,g,left
Q,C,D,P,N,M,Y,L,B,k,down
M,F,K,X,G,J,D,P,Y,m,left
T,X,B,S,M,D,R,K,H,y,down
G,F,Z,X,J,M,S,K,R,x,left
R,F,Z,Q,G,L,P,B,D,s,down
D,C,F,Y,T,V,S,R,K,d,left
N,Q,S,Z,V,K,J,B,X,p,down
D,T,Z,X,M,K,F,L,B,x,left
T,F,X,Z,K,P,J,H,S,g,down
P,L,B,Z,T,J,M,H,K,k,left
S,Q,H,Z,F,J,C,Y,L,r,down
B,X,P,R,Z,C,S,J,T,b,left
Q,K,B,Z,M,R,S,P,V,t,down
Y,N,P,M,Q,D,H,S,R,r,left
R,S,Q,X,M,G,P,Y,H,l,down
K,D,S,L,V,Y,P,Q,J,v,left
B,F,X,S,H,G,Q,Z,Y,l,down
V,R,K,T,P,D,H,M,Y,k,left
G,C,V,K,Q,P,F,Y,S,t,down
B,G,P,F,J,L,T,V,M,f,left
X,K,P,M,T,V,F,D,Q,s,down
X,V,D,K,Q,Z,G,B,S,x,left
D,G,H,S,J,K,Q,C,Y,x,down
J,T,Y,F,X,V,D,H,S,y,left
N,H,Z,R,Q,J,G,P,X,l,down
F,Z,T,B,X,K,D,Y,N,t,left
F,Z,T,B,X,P,D,S,L,q,down
Q,S,F,R,J,M,T,Z,H,j,left
M,F,D,J,B,R,Z,V,L,c,down
L,Q,S,F,J,H,R,N,X,s,left
X,Z,R,C,G,H,D,J,Q,n,down
Z,D,T,Q,Y,M,R,K,N,y,left
B,J,R,L,X,F,D,H,T,p,down
S,Y,F,N,D,Z,C,P,R,p,left
G,B,T,S,Q,P,R,M,L,y,down
N,S,L,R,Q,P,Z,B,H,n,left
S,F,P,H,N,R,C,G,J,b,down
L,B,K,N,S,R,F,M,P,p,left
Q,F,C,K,P,V,L,T,S,m,down
C,B,V,D,X,F,N,Q,R,b,left
L,B,C,Z,F,X,V,M,Q,d,down
R,Z,T,L,P,J,D,V,Q,z,left
T,D,J,S,N,M,P,V,B,z,down
F,D,L,Q,P,G,J,Y,N,g,left
G,N,V,L,K,T,H,S,R,x,down
M,S,P,B,F,J,Z,T,N,p,left
L,V,C,F,R,S,P,B,Y,m,down
P,Y,S,T,B,K,L,C,M,m,left
M,V,X,S,L,H,T,Z,J,c,down
V,R,S,K,B,N,Q,M,T,t,left
Z,C,G,V,D,H,B,X,F,n,down
K,S,Y,P,L,F,X,T,N,t,left
Z,D,M,T,Y,N,B,P,X,j,down
N,V,L,T,S,H,C,D,Z,v,left
R,M,C,P,Z,H,B,S,L,y,down
N,Y,B,Q,V,L,S,P,K,p,left
H,V,Y,C,L,P,B,G,S,r,down
P,G,H,Z,R,Q,B,D,C,z,left
D,B,S,Q,X,R,F,L,Z,n,down
G,X,K,N,Q,R,S,L,C,l,left
C,G,M,K,Y,X,N,D,S,h,down
F,Q,C,M,Y,D,G,S,T,d,left
V,H,Y,P,R,C,X,N,F,b,down
S,L,M,C,F,N,K,V,Y,l,left
K,Q,M,N,J,P,V,L,C,d,down
J,L,M,C,G,V,T,K,D,l,left
P,C,V,D,X,T,L,K,J,n,down
J,L,F,B,Q,X,D,K,G,g,left
Q,T,P,C,F,B,R,H,L,z,down
X,J,T,M,G,K,V,N,Y,k,left
G,X,F,D,L,H,P,M,T,c,down
P,M,X,H,F,R,D,Q,G,d,left
P,L,D,M,T,H,C,S,K,x,down
R,Q,J,P,L,N,V,S,C,q,left
V,H,C,F,Q,L,T,Y,K,m,down
R,V,Y,M,B,X,F,L,S,v,left
R,M,H,Z,C,S,J,Q,Y,l,down
L,S,F,H,Z,D,M,Q,J,f,left
Z,P,M,X,R,K,C,B,L,h,down
T,Y,N,B,V,R,F,D,L,t,left
J,G,C,D,V,T,N,K,S,p,down
S,R,L,N,C,H,T,X,B,t,left
D,N,T,H,F,Z,G,R,M,q,down
