TL,TM,TR,CL,CM,CR,BL,BM,BR,probe,corr
*,*,*,*,Z,*,*,*,*,z,left
*,*,*,*,X,*,*,*,*,p,down
*,*,*,*,B,*,*,*,*,b,left
*,*,*,*,D,*,*,*,*,v,down
*,*,*,*,S,*,*,*,*,s,left
*,*,*,*,M,*,*,*,*,d,down
*,*,*,*,J,*,*,*,*,j,left
*,*,*,*,C,*,*,*,*,t,down
*,*,*,*,M,*,*,*,*,m,left
*,*,*,*,T,*,*,*,*,g,down
*,*,*,*,H,*,*,*,*,h,left
*,*,*,*,X,*,*,*,*,z,down
*,*,*,*,R,*,*,*,*,r,left
*,*,*,*,T,*,*,*,*,d,down
*,*,*,*,F,*,*,*,*,f,left
*,*,*,*,V,*,*,*,*,q,down
*,*,*,*,P,*,*,*,*,p,left
*,*,*,*,Z,*,*,*,*,n,down
*,*,*,*,N,*,*,*,*,n,left
*,*,*,*,D,*,*,*,*,z,down
*,*,*,*,L,*,*,*,*,l,left
*,*,*,*,X,*,*,*,*,v,down
*,*,*,*,Y,*,*,*,*,y,left
*,*,*,*,X,*,*,*,*,s,down
*,*,*,*,M,*,*,*,*,m,left
*,*,*,*,R,*,*,*,*,z,down
*,*,*,*,Z,*,*,*,*,z,left
*,*,*,*,C,*,*,*,*,j,down
*,*,*,*,T,*,*,*,*,t,left
*,*,*,*,Z,*,*,*,*,q,down
*,*,*,*,G,*,*,*,*,g,left
*,*,*,*,F,*,*,*,*,v,down
*,*,*,*,V,*,*,*,*,v,left
*,*,*,*,C,*,*,*,*,n,down
*,*,*,*,F,*,*,*,*,f,left
*,*,*,*,C,*,*,*,*,s,down
*,*,*,*,P,*,*,*,*,p,left
*,*,*,*,B,*,*,*,*,h,down
*,*,*,*,C,*,*,*,*,c,left
*,*,*,*,X,*,*,*,*,g,down
*,*,*,*,Q,*,*,*,*,q,left
*,*,*,*,Y,*,*,*,*,q,down
*,*,*,*,P,*,*,*,*,p,left
*,*,*,*,X,*,*,*,*,d,down
*,*,*,*,J,*,*,*,*,j,left
*,*,*,*,M,*,*,*,*,x,down
*,*,*,*,V,*,*,*,*,v,left
*,*,*,*,V,*,*,*,*,p,down
*,*,*,*,B,*,*,*,*,b,left
*,*,*,*,R,*,*,*,*,s,down
*,*,*,*,X,*,*,*,*,x,left
*,*,*,*,R,*,*,*,*,x,down
*,*,*,*,S,*,*,*,*,s,left
*,*,*,*,Q,*,*,*,*,m,down
*,*,*,*,V,*,*,*,*,v,left
*,*,*,*,N,*,*,*,*,k,down
*,*,*,*,L,*,*,*,*,l,left
*,*,*,*,Y,*,*,*,*,v,down
*,*,*,*,Q,*,*,*,*,q,left
*,*,*,*,X,*,*,*,*,l,down
*,*,*,*,T,*,*,*,*,t,left
*,*,*,*,N,*,*,*,*,g,down
*,*,*,*,K,*,*,*,*,k,left
*,*,*,*,D,*,*,*,*,z,down
*,*,*,*,H,*,*,*,*,h,left
*,*,*,*,F,*,*,*,*,j,down
*,*,*,*,X,*,*,*,*,x,left
*,*,*,*,N,*,*,*,*,h,down
*,*,*,*,J,*,*,*,*,j,left
*,*,*,*,P,*,*,*,*,d,down
*,*,*,*,R,*,*,*,*,r,left
*,*,*,*,J,*,*,*,*,l,down
*,*,*,*,J,*,*,*,*,j,left
*,*,*,*,P,*,*,*,*,y,down
*,*,*,*,X,*,*,*,*,x,left
*,*,*,*,T,*,*,*,*,b,down
*,*,*,*,B,*,*,*,*,b,left
*,*,*,*,Z,*,*,*,*,d,down
*,*,*,*,R,*,*,*,*,r,left
*,*,*,*,Y,*,*,*,*,s,down
*,*,*,*,S,*,*,*,*,s,left
*,*,*,*,T,*,*,*,*,s,down
*,*,*,*,Q,*,*,*,*,q,left
*,*,*,*,F,*,*,*,*,v,down
*,*,*,*,F,*,*,*,*,f,left
*,*,*,*,M,*,*,*,*,q,down
*,*,*,*,M,*,*,*,*,m,left
*,*,*,*,S,*,*,*,*,p,down
*,*,*,*,F,*,*,*,*,f,left
*,*,*,*,L,*,*,*,*,p,down
*,*,*,*,F,*,*,*,*,f,left
*,*,*,*,D,*,*,*,*,y,down
*,*,*,*,M,*,*,*,*,m,left
*,*,*,*,M,*,*,*,*,k,down
*,*,*,*,C,*,*,*,*,c,left
*,*,*,*,J,*,*,*,*,g,down
*,*,*,*,X,*,*,*,*,x,left
*,*,*,*,N,*,*,*,*,s,down
*,*,*,*,C,*,*,*,*,c,left
*,*,*,*,S,*,*,*,*,c,down
*,*,*,*,J,*,*,*,*,j,left
*,*,*,*,R,*,*,*,*,m,down
*,*,*,*,V,*,*,*,*,v,left
*,*,*,*,G,*,*,*,*,r,down
*,*,*,*,J,*,*,*,*,j,left
*,*,*,*,B,*,*,*,*,d,down
*,*,*,*,P,*,*,*,*,p,left
*,*,*,*,J,*,*,*,*,t,down
*,*,*,*,R,*,*,*,*,r,left
*,*,*,*,V,*,*,*,*,q,down
*,*,*,*,S,*,*,*,*,s,left
*,*,*,*,R,*,*,*,*,q,down
*,*,*,*,T,*,*,*,*,t,left
*,*,*,*,R,*,*,*,*,k,down
*,*,*,*,K,*,*,*,*,k,left
*,*,*,*,V,*,*,*,*,n,down
*,*,*,*,T,*,*,*,*,t,left
*,*,*,*,X,*,*,*,*,n,down
*,*,*,*,T,*,*,*,*,t,left
*,*,*,*,B,*,*,*,*,q,down
*,*,*,*,P,*,*,*,*,p,left
*,*,*,*,F,*,*,*,*,m,down
*,*,*,*,Y,*,*,*,*,y,left
*,*,*,*,C,*,*,*,*,d,down
*,*,*,*,R,*,*,*,*,r,left
*,*,*,*,H,*,*,*,*,z,down
*,*,*,*,Z,*,*,*,*,z,left
*,*,*,*,F,*,*,*,*,h,down
*,*,*,*,G,*,*,*,*,g,left
*,*,*,*,D,*,*,*,*,p,down
*,*,*,*,Y,*,*,*,*,y,left
*,*,*,*,L,*,*,*,*,x,down
*,*,*,*,Y,*,*,*,*,y,left
*,*,*,*,C,*,*,*,*,p,down
*,*,*,*,L,*,*,*,*,l,left
*,*,*,*,N,*,*,*,*,v,down
*,*,*,*,D,*,*,*,*,d,left
*,*,*,*,Y,*,*,*,*,k,down
*,*,*,*,Z,*,*,*,*,z,left
*,*,*,*,Y,*,*,*,*,d,down
*,*,*,*,C,*,*,*,*,c,left
*,*,*,*,T,*,*,*,*,k,down
*,*,*,*,V,*,*,*,*,v,left
*,*,*,*,D,*,*,*,*,g,down
*,*,*,*,M,*,*,*,*,m,left
*,*,*,*,D,*,*,*,*,y,down
*,*,*,*,T,*,*,*,*,t,left
*,*,*,*,N,*,*,*,*,j,down
*,*,*,*,D,*,*,*,*,d,left
*,*,*,*,Z,*,*,*,*,q,down
*,*,*,*,H,*,*,*,*,h,left
*,*,*,*,M,*,*,*,*,z,down
*,*,*,*,K,*,*,*,*,k,left
*,*,*,*,D,*,*,*,*,q,down
*,*,*,*,S,*,*,*,*,s,left
*,*,*,*,D,*,*,*,*,s,down
*,*,*,*,P,*,*,*,*,p,left
*,*,*,*,V,*,*,*,*,q,down
*,*,*,*,Y,*,*,*,*,y,left
*,*,*,*,M,*,*,*,*,l,down
*,*,*,*,T,*,*,*,*,t,left
*,*,*,*,N,*,*,*,*,g,down
*,*,*,*,J,*,*,*,*,j,left
*,*,*,*,S,*,*,*,*,b,down
*,*,*,*,N,*,*,*,*,n,left
*,*,*,*,S,*,*,*,*,g,down
*,*,*,*,G,*,*,*,*,g,left
*,*,*,*,X,*,*,*,*,y,down
*,*,*,*,P,*,*,*,*,p,left
*,*,*,*,B,*,*,*,*,h,down
*,*,*,*,B,*,*,*,*,b,left
*,*,*,*,Q,*,*,*,*,m,down
*,*,*,*,S,*,*,*,*,s,left
*,*,*,*,Z,*,*,*,*,f,down
*,*,*,*,G,*,*,*,*,g,left
*,*,*,*,X,*,*,*,*,s,down
*,*,*,*,G,*,*,*,*,g,left
*,*,*,*,Q,*,*,*,*,b,down
*,*,*,*,C,*,*,*,*,c,left
*,*,*,*,T,*,*,*,*,n,down
*,*,*,*,V,*,*,*,*,v,left
*,*,*,*,J,*,*,*,*,f,down
*,*,*,*,K,*,*,*,*,k,left
*,*,*,*,Z,*,*,*,*,d,down
*,*,*,*,F,*,*,*,*,f,left
*,*,*,*,Q,*,*,*,*,m,down
*,*,*,*,V,*,*,*,*,v,left
*,*,*,*,K,*,*,*,*,l,down
*,*,*,*,L,*,*,*,*,l,left
*,*,*,*,Z,*,*,*,*,g,down
*,*,*,*,Q,*,*,*,*,q,left
*,*,*,*,C,*,*,*,*,x,down
*,*,*,*,C,*,*,*,*,c,left
*,*,*,*,B,*,*,*,*,x,down
*,*,*,*,P,*,*,*,*,p,left
*,*,*,*,M,*,*,*,*,k,down
*,*,*,*,K,*,*,*,*,k,left
*,*,*,*,F,*,*,*,*,g,down
*,*,*,*,X,*,*,*,*,x,left
*,*,*,*,C,*,*,*,*,s,down
*,*,*,*,R,*,*,*,*,r,left
*,*,*,*,V,*,*,*,*,h,down
*,*,*,*,Q,*,*,*,*,q,left
*,*,*,*,L,*,*,*,*,g,down
*,*,*,*,B,*,*,*,*,b,left
*,*,*,*,V,*,*,*,*,g,down
*,*,*,*,K,*,*,*,*,k,left
*,*,*,*,B,*,*,*,*,n,down
*,*,*,*,G,*,*,*,*,g,left
*,*,*,*,H,*,*,*,*,b,down
*,*,*,*,S,*,*,*,*,s,left
*,*,*,*,Z,*,*,*,*,r,down
*,*,*,*,G,*,*,*,*,g,left
*,*,*,*,Q,*,*,*,*,l,down
*,*,*,*,Z,*,*,*,*,z,left
*,*,*,*,K,*,*,*,*,f,down
*,*,*,*,D,*,*,*,*,d,left
*,*,*,*,V,*,*,*,*,k,down
*,*,*,*,X,*,*,*,*,x,left
*,*,*,*,X,*,*,*,*,c,down
*,*,*,*,X,*,*,*,*,x,left
*,*,*,*,G,*,*,*,*,j,down
*,*,*,*,C,*,*,*,*,c,left
*,*,*,*,G,*,*,*,*,v,down
*,*,*,*,D,*,*,*,*,d,left
*,*,*,*,Z,*,*,*,*,h,down
*,*,*,*,S,*,*,*,*,s,left
*,*,*,*,P,*,*,*,*,c,down
*,*,*,*,G,*,*,*,*,g,left
*,*,*,*,B,*,*,*,*,j,down
*,*,*,*,G,*,*,*,*,g,left
*,*,*,*,N,*,*,*,*,p,down
*,*,*,*,L,*,*,*,*,l,left
*,*,*,*,R,*,*,*,*,h,down
*,*,*,*,H,*,*,*,*,h,left
*,*,*,*,F,*,*,*,*,q,down
*,*,*,*,G,*,*,*,*,g,left
*,*,*,*,X,*,*,*,*,p,down
*,*,*,*,P,*,*,*,*,p,left
*,*,*,*,B,*,*,*,*,c,down
*,*,*,*,Q,*,*,*,*,q,left
*,*,*,*,Q,*,*,*,*,b,down
*,*,*,*,J,*,*,*,*,j,left
*,*,*,*,G,*,*,*,*,c,down
*,*,*,*,C,*,*,*,*,c,left
*,*,*,*,D,*,*,*,*,c,down
*,*,*,*,H,*,*,*,*,h,left
*,*,*,*,D,*,*,*,*,h,down
*,*,*,*,P,*,*,*,*,p,left
*,*,*,*,J,*,*,*,*,r,down
*,*,*,*,L,*,*,*,*,l,left
*,*,*,*,J,*,*,*,*,t,down
*,*,*,*,Q,*,*,*,*,q,left
*,*,*,*,G,*,*,*,*,c,down
*,*,*,*,J,*,*,*,*,j,left
*,*,*,*,F,*,*,*,*,c,down
*,*,*,*,V,*,*,*,*,v,left
*,*,*,*,D,*,*,*,*,m,down
*,*,*,*,L,*,*,*,*,l,left
*,*,*,*,Y,*,*,*,*,b,down
*,*,*,*,T,*,*,*,*,t,left
*,*,*,*,R,*,*,*,*,z,down
*,*,*,*,M,*,*,*,*,m,left
*,*,*,*,P,*,*,*,*,z,down
*,*,*,*,Y,*,*,*,*,y,left
*,*,*,*,T,*,*,*,*,k,down
*,*,*,*,J,*,*,*,*,j,left
*,*,*,*,M,*,*,*,*,j,down
*,*,*,*,N,*,*,*,*,n,left
*,*,*,*,Y,*,*,*,*,n,down
*,*,*,*,D,*,*,*,*,d,left
*,*,*,*,V,*,*,*,*,t,down
*,*,*,*,C,*,*,*,*,c,left
*,*,*,*,K,*,*,*,*,l,down
*,*,*,*,D,*,*,*,*,d,left
*,*,*,*,T,*,*,*,*,q,down
*,*,*,*,K,*,*,*,*,k,left
*,*,*,*,X,*,*,*,*,y,down
*,*,*,*,S,*,*,*,*,s,left
*,*,*,*,Y,*,*,*,*,j,down
*,*,*,*,H,*,*,*,*,h,left
*,*,*,*,H,*,*,*,*,b,down
*,*,*,*,L,*,*,*,*,l,left
*,*,*,*,R,*,*,*,*,n,down
*,*,*,*,Y,*,*,*,*,y,left
*,*,*,*,D,*,*,*,*,l,down
*,*,*,*,J,*,*,*,*,j,left
*,*,*,*,X,*,*,*,*,f,down
*,*,*,*,Q,*,*,*,*,q,left
*,*,*,*,F,*,*,*,*,g,down
*,*,*,*,X,*,*,*,*,x,left
*,*,*,*,P,*,*,*,*,r,down
*,*,*,*,Y,*,*,*,*,y,left
*,*,*,*,J,*,*,*,*,z,down
*,*,*,*,J,*,*,*,*,j,left
*,*,*,*,G,*,*,*,*,m,down
*,*,*,*,Z,*,*,*,*,z,left
*,*,*,*,K,*,*,*,*,x,down
*,*,*,*,Q,*,*,*,*,q,left
*,*,*,*,J,*,*,*,*,t,down
*,*,*,*,J,*,*,*,*,j,left
*,*,*,*,N,*,*,*,*,s,down
*,*,*,*,N,*,*,*,*,n,left
*,*,*,*,Q,*,*,*,*,y,down
*,*,*,*,J,*,*,*,*,j,left
*,*,*,*,D,*,*,*,*,j,down
*,*,*,*,F,*,*,*,*,f,left
*,*,*,*,N,*,*,*,*,d,down
*,*,*,*,Y,*,*,*,*,y,left
*,*,*,*,P,*,*,*,*,b,down
*,*,*,*,L,*,*,*,*,l,left
*,*,*,*,R,*,*,*,*,h,down
*,*,*,*,X,*,*,*,*,x,left
*,*,*,*,Q,*,*,*,*,r,down
*,*,*,*,Y,*,*,*,*,y,left
*,*,*,*,G,*,*,*,*,l,down
*,*,*,*,V,*,*,*,*,v,left
*,*,*,*,Q,*,*,*,*,t,down
*,*,*,*,D,*,*,*,*,d,left
*,*,*,*,X,*,*,*,*,n,down
*,*,*,*,F,*,*,*,*,f,left
*,*,*,*,H,*,*,*,*,d,down
*,*,*,*,Z,*,*,*,*,z,left
*,*,*,*,Y,*,*,*,*,c,down
*,*,*,*,Q,*,*,*,*,q,left
*,*,*,*,P,*,*,*,*,z,down
*,*,*,*,T,*,*,*,*,t,left
*,*,*,*,N,*,*,*,*,c,down
*,*,*,*,S,*,*,*,*,s,left
*,*,*,*,Y,*,*,*,*,n,down
*,*,*,*,P,*,*,*,*,p,left
*,*,*,*,F,*,*,*,*,t,down
*,*,*,*,G,*,*,*,*,g,left
*,*,*,*,G,*,*,*,*,d,down
*,*,*,*,V,*,*,*,*,v,left
*,*,*,*,B,*,*,*,*,z,down
*,*,*,*,M,*,*,*,*,m,left
*,*,*,*,B,*,*,*,*,j,down
*,*,*,*,H,*,*,*,*,h,left
*,*,*,*,L,*,*,*,*,q,down
*,*,*,*,K,*,*,*,*,k,left
*,*,*,*,L,*,*,*,*,h,down
*,*,*,*,B,*,*,*,*,b,left
*,*,*,*,S,*,*,*,*,j,down
*,*,*,*,Y,*,*,*,*,y,left
*,*,*,*,G,*,*,*,*,r,down
*,*,*,*,B,*,*,*,*,b,left
*,*,*,*,T,*,*,*,*,b,down
*,*,*,*,S,*,*,*,*,s,left
*,*,*,*,N,*,*,*,*,k,down
*,*,*,*,T,*,*,*,*,t,left
*,*,*,*,C,*,*,*,*,z,down
*,*,*,*,Y,*,*,*,*,y,left
*,*,*,*,J,*,*,*,*,d,down
*,*,*,*,Y,*,*,*,*,y,left
*,*,*,*,H,*,*,*,*,b,down
*,*,*,*,C,*,*,*,*,c,left
*,*,*,*,S,*,*,*,*,z,down
*,*,*,*,B,*,*,*,*,b,left
*,*,*,*,M,*,*,*,*,t,down
*,*,*,*,S,*,*,*,*,s,left
*,*,*,*,Y,*,*,*,*,b,down
*,*,*,*,T,*,*,*,*,t,left
*,*,*,*,Z,*,*,*,*,h,down
*,*,*,*,T,*,*,*,*,t,left
*,*,*,*,R,*,*,*,*,y,down
*,*,*,*,V,*,*,*,*,v,left
*,*,*,*,X,*,*,*,*,l,down
*,*,*,*,C,*,*,*,*,c,left
*,*,*,*,Y,*,*,*,*,n,down
*,*,*,*,L,*,*,*,*,l,left
*,*,*,*,R,*,*,*,*,f,down
*,*,*,*,L,*,*,*,*,l,left
*,*,*,*,N,*,*,*,*,f,down
*,*,*,*,V,*,*,*,*,v,left
*,*,*,*,D,*,*,*,*,x,down
*,*,*,*,B,*,*,*,*,b,left
*,*,*,*,T,*,*,*,*,s,down
*,*,*,*,M,*,*,*,*,m,left
*,*,*,*,G,*,*,*,*,v,down
*,*,*,*,F,*,*,*,*,f,left
*,*,*,*,T,*,*,*,*,k,down
*,*,*,*,H,*,*,*,*,h,left
*,*,*,*,L,*,*,*,*,q,down
*,*,*,*,B,*,*,*,*,b,left
*,*,*,*,C,*,*,*,*,b,down
*,*,*,*,B,*,*,*,*,b,left
*,*,*,*,H,*,*,*,*,g,down
*,*,*,*,H,*,*,*,*,h,left
*,*,*,*,S,*,*,*,*,y,down
*,*,*,*,M,*,*,*,*,m,left
*,*,*,*,D,*,*,*,*,v,down
*,*,*,*,J,*,*,*,*,j,left
*,*,*,*,J,*,*,*,*,b,down
*,*,*,*,Z,*,*,*,*,z,left
*,*,*,*,L,*,*,*,*,g,down
*,*,*,*,L,*,*,*,*,l,left
*,*,*,*,L,*,*,*,*,p,down
*,*,*,*,M,*,*,*,*,m,left
*,*,*,*,S,*,*,*,*,d,down
*,*,*,*,Q,*,*,*,*,q,left
*,*,*,*,N,*,*,*,*,m,down
*,*,*,*,N,*,*,*,*,n,left
*,*,*,*,Z,*,*,*,*,j,down
*,*,*,*,R,*,*,*,*,r,left
*,*,*,*,K,*,*,*,*,y,down
*,*,*,*,S,*,*,*,*,s,left
*,*,*,*,F,*,*,*,*,d,down
*,*,*,*,M,*,*,*,*,m,left
*,*,*,*,F,*,*,*,*,j,down
*,*,*,*,Z,*,*,*,*,z,left
*,*,*,*,L,*,*,*,*,t,down
*,*,*,*,F,*,*,*,*,f,left
*,*,*,*,R,*,*,*,*,h,down
*,*,*,*,J,*,*,*,*,j,left
*,*,*,*,V,*,*,*,*,y,down
*,*,*,*,Q,*,*,*,*,q,left
*,*,*,*,X,*,*,*,*,y,down
*,*,*,*,Z,*,*,*,*,z,left
*,*,*,*,K,*,*,*,*,g,down
*,*,*,*,K,*,*,*,*,k,left
*,*,*,*,Y,*,*,*,*,x,down
*,*,*,*,C,*,*,*,*,c,left
*,*,*,*,Y,*,*,*,*,t,down
*,*,*,*,M,*,*,*,*,m,left
*,*,*,*,V,*,*,*,*,l,down
*,*,*,*,N,*,*,*,*,n,left
*,*,*,*,Q,*,*,*,*,r,down
*,*,*,*,X,*,*,*,*,x,left
*,*,*,*,B,*,*,*,*,f,down
*,*,*,*,Z,*,*,*,*,z,left
*,*,*,*,N,*,*,*,*,q,down
*,*,*,*,T,*,*,*,*,t,left
*,*,*,*,L,*,*,*,*,q,down
*,*,*,*,S,*,*,*,*,s,left
*,*,*,*,T,*,*,*,*,r,down
*,*,*,*,G,*,*,*,*,g,left
*,*,*,*,F,*,*,*,*,j,down
*,*,*,*,R,*,*,*,*,r,left
*,*,*,*,X,*,*,*,*,d,down
*,*,*,*,J,*,*,*,*,j,left
*,*,*,*,P,*,*,*,*,v,down
*,*,*,*,T,*,*,*,*,t,left
*,*,*,*,M,*,*,*,*,b,down
*,*,*,*,N,*,*,*,*,n,left
*,*,*,*,R,*,*,*,*,v,down
*,*,*,*,P,*,*,*,*,p,left
*,*,*,*,Q,*,*,*,*,h,down
*,*,*,*,G,*,*,*,*,g,left
*,*,*,*,K,*,*,*,*,z,down
*,*,*,*,G,*,*,*,*,g,left
*,*,*,*,Y,*,*,*,*,v,down
*,*,*,*,M,*,*,*,*,m,left
*,*,*,*,B,*,*,*,*,f,down
*,*,*,*,B,*,*,*,*,b,left
*,*,*,*,L,*,*,*,*,x,down
*,*,*,*,B,*,*,*,*,b,left
*,*,*,*,N,*,*,*,*,z,down
*,*,*,*,T,*,*,*,*,t,left
*,*,*,*,G,*,*,*,*,z,down
*,*,*,*,G,*,*,*,*,g,left
*,*,*,*,V,*,*,*,*,c,down
*,*,*,*,Y,*,*,*,*,y,left
*,*,*,*,Q,*,*,*,*,y,down
*,*,*,*,F,*,*,*,*,f,left
*,*,*,*,S,*,*,*,*,v,down
*,*,*,*,B,*,*,*,*,b,left
*,*,*,*,B,*,*,*,*,h,down
*,*,*,*,Y,*,*,*,*,y,left
*,*,*,*,X,*,*,*,*,c,down
*,*,*,*,X,*,*,*,*,x,left
*,*,*,*,N,*,*,*,*,k,down
*,*,*,*,X,*,*,*,*,x,left
*,*,*,*,V,*,*,*,*,z,down
*,*,*,*,P,*,*,*,*,p,left
*,*,*,*,N,*,*,*,*,r,down
*,*,*,*,K,*,*,*,*,k,left
*,*,*,*,R,*,*,*,*,d,down
*,*,*,*,K,*,*,*,*,k,left
*,*,*,*,R,*,*,*,*,c,down
*,*,*,*,M,*,*,*,*,m,left
*,*,*,*,N,*,*,*,*,l,down
*,*,*,*,Y,*,*,*,*,y,left
*,*,*,*,X,*,*,*,*,d,down
*,*,*,*,F,*,*,*,*,f,left
*,*,*,*,B,*,*,*,*,q,down
*,*,*,*,R,*,*,*,*,r,left
*,*,*,*,X,*,*,*,*,k,down
*,*,*,*,H,*,*,*,*,h,left
*,*,*,*,P,*,*,*,*,v,down
*,*,*,*,Z,*,*,*,*,z,left
*,*,*,*,K,*,*,*,*,h,down
*,*,*,*,X,*,*,*,*,x,left
*,*,*,*,R,*,*,*,*,m,down
*,*,*,*,P,*,*,*,*,p,left
*,*,*,*,B,*,*,*,*,z,down
*,*,*,*,S,*,*,*,*,s,left
*,*,*,*,L,*,*,*,*,n,down
*,*,*,*,G,*,*,*,*,g,left
*,*,*,*,K,*,*,*,*,q,down
*,*,*,*,B,*,*,*,*,b,left
*,*,*,*,Q,*,*,*,*,j,down
*,*,*,*,L,*,*,*,*,l,left
*,*,*,*,L,*,*,*,*,z,down
*,*,*,*,M,*,*,*,*,m,left
*,*,*,*,P,*,*,*,*,v,down
*,*,*,*,C,*,*,*,*,c,left
*,*,*,*,J,*,*,*,*,d,down
*,*,*,*,R,*,*,*,*,r,left
*,*,*,*,G,*,*,*,*,l,down
*,*,*,*,N,*,*,*,*,n,left
*,*,*,*,Z,*,*,*,*,y,down
*,*,*,*,J,*,*,*,*,j,left
*,*,*,*,G,*,*,*,*,t,down
*,*,*,*,C,*,*,*,*,c,left
*,*,*,*,C,*,*,*,*,y,down
*,*,*,*,Q,*,*,*,*,q,left
*,*,*,*,L,*,*,*,*,s,down
*,*,*,*,Q,*,*,*,*,q,left
*,*,*,*,Q,*,*,*,*,m,down
*,*,*,*,B,*,*,*,*,b,left
*,*,*,*,D,*,*,*,*,s,down
*,*,*,*,M,*,*,*,*,m,left
*,*,*,*,R,*,*,*,*,c,down
*,*,*,*,Y,*,*,*,*,y,left
*,*,*,*,J,*,*,*,*,b,down
*,*,*,*,P,*,*,*,*,p,left
*,*,*,*,D,*,*,*,*,b,down
*,*,*,*,F,*,*,*,*,f,left
*,*,*,*,M,*,*,*,*,t,down
*,*,*,*,G,*,*,*,*,g,left
*,*,*,*,N,*,*,*,*,y,down
*,*,*,*,K,*,*,*,*,k,left
*,*,*,*,B,*,*,*,*,k,down
*,*,*,*,S,*,*,*,*,s,left
*,*,*,*,C,*,*,*,*,h,down
*,*,*,*,F,*,*,*,*,f,left
*,*,*,*,Q,*,*,*,*,p,down
*,*,*,*,Y,*,*,*,*,y,left
*,*,*,*,G,*,*,*,*,m,down
*,*,*,*,C,*,*,*,*,c,left
*,*,*,*,X,*,*,*,*,l,down
*,*,*,*,L,*,*,*,*,l,left
*,*,*,*,S,*,*,*,*,l,down
*,*,*,*,S,*,*,*,*,s,left
*,*,*,*,Z,*,*,*,*,b,down
*,*,*,*,Z,*,*,*,*,z,left
*,*,*,*,Y,*,*,*,*,g,down
*,*,*,*,B,*,*,*,*,b,left
*,*,*,*,T,*,*,*,*,q,down
*,*,*,*,Z,*,*,*,*,z,left
*,*,*,*,V,*,*,*,*,r,down
*,*,*,*,G,*,*,*,*,g,left
*,*,*,*,N,*,*,*,*,p,down
*,*,*,*,L,*,*,*,*,l,left
*,*,*,*,L,*,*,*,*,m,down
*,*,*,*,J,*,*,*,*,j,left
*,*,*,*,Y,*,*,*,*,x,down
