TL,TM,TR,CL,CM,CR,BL,BM,BR,probe,corr
*,*,*,Y,S,R,*,*,*,t,down
*,*,*,X,T,G,*,*,*,g,left
*,*,*,P,V,X,*,*,*,s,down
*,*,*,X,C,Q,*,*,*,x,left
*,*,*,B,Q,P,*,*,*,g,down
*,*,*,G,T,B,*,*,*,b,left
*,*,*,B,P,C,*,*,*,l,down
*,*,*,V,Y,T,*,*,*,t,left
*,*,*,K,T,H,*,*,*,c,down
*,*,*,G,C,F,*,*,*,g,left
*,*,*,L,S,Z,*,*,*,x,down
*,*,*,B,Z,C,*,*,*,c,left
*,*,*,Q,J,K,*,*,*,d,down
*,*,*,D,M,J,*,*,*,j,left
*,*,*,N,P,L,*,*,*,g,down
*,*,*,B,P,G,*,*,*,g,left
*,*,*,F,K,V,*,*,*,h,down
*,*,*,K,X,L,*,*,*,x,left
*,*,*,Z,D,M,*,*,*,v,down
*,*,*,Z,H,Q,*,*,*,q,left
*,*,*,R,T,J,*,*,*,k,down
*,*,*,T,X,Q,*,*,*,x,left
*,*,*,J,V,T,*,*,*,z,down
*,*,*,H,K,F,*,*,*,k,left
*,*,*,P,M,V,*,*,*,g,down
*,*,*,F,R,S,*,*,*,f,left
*,*,*,V,C,H,*,*,*,l,down
*,*,*,G,N,S,*,*,*,n,left
*,*,*,M,B,V,*,*,*,c,down
*,*,*,D,B,Z,*,*,*,d,left
*,*,*,V,H,R,*,*,*,f,down
*,*,*,T,K,N,*,*,*,k,left
*,*,*,M,K,N,*,*,*,p,down
*,*,*,Y,S,F,*,*,*,f,left
*,*,*,B,J,L,*,*,*,v,down
*,*,*,D,H,Z,*,*,*,d,left
*,*,*,M,D,L,*,*,*,c,down
*,*,*,H,N,C,*,*,*,h,left
*,*,*,D,G,P,*,*,*,b,down
*,*,*,Q,F,Z,*,*,*,f,left
*,*,*,Z,H,M,*,*,*,b,down
*,*,*,C,D,F,*,*,*,f,left
*,*,*,N,S,C,*,*,*,f,down
*,*,*,R,P,S,*,*,*,s,left
*,*,*,Q,J,N,*,*,*,l,down
*,*,*,V,R,Z,*,*,*,r,left
*,*,*,S,Y,Q,*,*,*,b,down
*,*,*,V,K,P,*,*,*,k,left
*,*,*,K,M,X,*,*,*,s,down
*,*,*,C,K,P,*,*,*,k,left
*,*,*,Y,N,T,*,*,*,x,down
*,*,*,F,Q,C,*,*,*,f,left
*,*,*,V,F,D,*,*,*,t,down
*,*,*,G,F,Q,*,*,*,q,left
*,*,*,S,C,Q,*,*,*,d,down
*,*,*,R,J,Y,*,*,*,r,left
*,*,*,C,H,M,*,*,*,z,down
*,*,*,G,Q,L,*,*,*,g,left
*,*,*,V,Q,D,*,*,*,y,down
*,*,*,T,F,D,*,*,*,d,left
*,*,*,Z,B,L,*,*,*,r,down
*,*,*,N,M,D,*,*,*,n,left
*,*,*,G,S,Y,*,*,*,l,down
*,*,*,S,Y,F,*,*,*,f,left
*,*,*,D,G,R,*,*,*,t,down
*,*,*,R,Q,B,*,*,*,q,left
*,*,*,K,J,T,*,*,*,h,down
*,*,*,T,V,C,*,*,*,t,left
*,*,*,M,K,Q,*,*,*,h,down
*,*,*,C,P,R,*,*,*,c,left
*,*,*,J,M,G,*,*,*,l,down
*,*,*,S,P,Y,*,*,*,y,left
*,*,*,X,Q,Z,*,*,*,l,down
*,*,*,B,Z,L,*,*,*,b,left
*,*,*,R,K,M,*,*,*,z,down
*,*,*,G,J,F,*,*,*,j,left
*,*,*,Y,P,J,*,*,*,v,down
*,*,*,B,Y,C,*,*,*,c,left
*,*,*,K,B,Y,*,*,*,g,down
*,*,*,H,J,C,*,*,*,j,left
*,*,*,N,H,Z,*,*,*,r,down
*,*,*,T,S,L,*,*,*,l,left
*,*,*,C,Y,N,*,*,*,m,down
*,*,*,X,L,F,*,*,*,l,left
*,*,*,F,Y,T,*,*,*,x,down
*,*,*,X,Z,M,*,*,*,x,left
*,*,*,Y,H,D,*,*,*,r,down
*,*,*,R,J,Y,*,*,*,j,left
*,*,*,G,C,K,*,*,*,s,down
*,*,*,P,Z,V,*,*,*,z,left
*,*,*,G,L,Y,*,*,*,s,down
*,*,*,N,J,K,*,*,*,k,left
*,*,*,G,H,X,*,*,*,d,down
*,*,*,Z,F,J,*,*,*,j,left
*,*,*,L,T,K,*,*,*,c,down
*,*,*,C,J,Q,*,*,*,j,left
*,*,*,H,V,Z,*,*,*,y,down
*,*,*,Q,C,Z,*,*,*,z,left
*,*,*,H,N,B,*,*,*,g,down
*,*,*,T,S,V,*,*,*,s,left
*,*,*,K,F,Z,*,*,*,d,down
*,*,*,J,M,H,*,*,*,j,left
*,*,*,T,B,M,*,*,*,c,down
*,*,*,Y,Z,V,*,*,*,y,left
*,*,*,L,F,D,*,*,*,h,down
*,*,*,T,L,J,*,*,*,l,left
*,*,*,N,Q,C,*,*,*,f,down
*,*,*,D,B,R,*,*,*,r,left
*,*,*,Z,H,Y,*,*,*,k,down
*,*,*,R,V,S,*,*,*,s,left
*,*,*,N,F,G,*,*,*,d,down
*,*,*,C,D,G,*,*,*,c,left
*,*,*,D,R,X,*,*,*,f,down
*,*,*,S,B,G,*,*,*,g,left
*,*,*,Y,F,D,*,*,*,s,down
*,*,*,P,Y,V,*,*,*,y,left
*,*,*,F,D,M,*,*,*,y,down
*,*,*,X,C,V,*,*,*,x,left
*,*,*,J,K,H,*,*,*,s,down
*,*,*,K,S,P,*,*,*,p,left
*,*,*,C,M,H,*,*,*,v,down
*,*,*,V,C,T,*,*,*,c,left
*,*,*,M,F,D,*,*,*,q,down
*,*,*,L,S,C,*,*,*,s,left
*,*,*,S,P,L,*,*,*,g,down
*,*,*,T,D,H,*,*,*,d,left
*,*,*,T,D,R,*,*,*,q,down
*,*,*,B,P,K,*,*,*,b,left
*,*,*,M,R,D,*,*,*,z,down
*,*,*,P,T,F,*,*,*,f,left
*,*,*,D,F,M,*,*,*,g,down
*,*,*,F,P,J,*,*,*,f,left
*,*,*,M,P,C,*,*,*,l,down
*,*,*,F,L,K,*,*,*,f,left
*,*,*,N,R,T,*,*,*,c,down
*,*,*,P,M,F,*,*,*,m,left
*,*,*,X,S,H,*,*,*,l,down
*,*,*,C,M,F,*,*,*,c,left
*,*,*,B,J,R,*,*,*,c,down
*,*,*,S,Y,N,*,*,*,s,left
*,*,*,T,L,Z,*,*,*,n,down
*,*,*,P,G,Q,*,*,*,p,left
*,*,*,V,J,K,*,*,*,z,down
*,*,*,N,Y,T,*,*,*,n,left
*,*,*,N,Z,M,*,*,*,v,down
*,*,*,J,S,R,*,*,*,j,left
*,*,*,V,Q,N,*,*,*,g,down
*,*,*,T,Y,Q,*,*,*,q,left
*,*,*,M,X,Z,*,*,*,g,down
*,*,*,S,M,H,*,*,*,m,left
*,*,*,N,X,D,*,*,*,k,down
*,*,*,M,Z,R,*,*,*,m,left
*,*,*,R,N,H,*,*,*,x,down
*,*,*,X,G,F,*,*,*,f,left
*,*,*,K,V,R,*,*,*,c,down
*,*,*,H,P,K,*,*,*,k,left
*,*,*,T,Q,Y,*,*,*,b,down
*,*,*,L,H,C,*,*,*,l,left
*,*,*,J,B,M,*,*,*,s,down
*,*,*,J,F,M,*,*,*,f,left
*,*,*,T,D,Z,*,*,*,j,down
*,*,*,H,F,J,*,*,*,f,left
*,*,*,R,X,K,*,*,*,n,down
*,*,*,C,P,S,*,*,*,s,left
*,*,*,K,P,Q,*,*,*,m,down
*,*,*,F,V,P,*,*,*,v,left
*,*,*,G,J,K,*,*,*,z,down
*,*,*,G,Q,B,*,*,*,b,left
*,*,*,G,X,Y,*,*,*,r,down
*,*,*,J,R,X,*,*,*,j,left
*,*,*,B,F,K,*,*,*,s,down
*,*,*,T,K,M,*,*,*,k,left
*,*,*,D,X,K,*,*,*,t,down
*,*,*,Q,F,J,*,*,*,f,left
*,*,*,L,K,J,*,*,*,y,down
*,*,*,G,J,C,*,*,*,g,left
*,*,*,Y,G,J,*,*,*,n,down
*,*,*,Z,P,M,*,*,*,m,left
*,*,*,Z,N,B,*,*,*,g,down
*,*,*,F,Z,D,*,*,*,d,left
*,*,*,R,P,G,*,*,*,j,down
*,*,*,Y,K,Q,*,*,*,y,left
*,*,*,H,C,S,*,*,*,m,down
*,*,*,Z,F,L,*,*,*,l,left
*,*,*,M,R,H,*,*,*,z,down
*,*,*,K,S,P,*,*,*,s,left
*,*,*,K,M,P,*,*,*,g,down
*,*,*,N,R,K,*,*,*,n,left
*,*,*,X,M,L,*,*,*,g,down
*,*,*,Z,S,J,*,*,*,z,left
*,*,*,F,C,T,*,*,*,v,down
*,*,*,H,P,Z,*,*,*,p,left
*,*,*,M,H,D,*,*,*,v,down
*,*,*,T,F,D,*,*,*,d,left
*,*,*,F,Y,G,*,*,*,t,down
*,*,*,G,K,Y,*,*,*,k,left
*,*,*,Y,S,K,*,*,*,v,down
*,*,*,V,J,N,*,*,*,n,left
*,*,*,R,B,M,*,*,*,k,down
*,*,*,V,X,H,*,*,*,x,left
*,*,*,B,Q,P,*,*,*,h,down
*,*,*,N,B,C,*,*,*,c,left
*,*,*,C,V,D,*,*,*,x,down
*,*,*,D,C,X,*,*,*,d,left
*,*,*,Q,X,S,*,*,*,k,down
*,*,*,K,V,L,*,*,*,l,left
*,*,*,K,N,L,*,*,*,f,down
*,*,*,T,J,H,*,*,*,j,left
*,*,*,B,N,Q,*,*,*,j,down
*,*,*,D,S,R,*,*,*,r,left
*,*,*,C,Z,H,*,*,*,y,down
*,*,*,L,K,F,*,*,*,l,left
*,*,*,T,P,X,*,*,*,s,down
*,*,*,K,G,L,*,*,*,l,left
*,*,*,J,S,L,*,*,*,n,down
*,*,*,Q,S,N,*,*,*,n,left
*,*,*,V,F,G,*,*,*,c,down
*,*,*,Z,G,P,*,*,*,p,left
*,*,*,H,M,D,*,*,*,f,down
*,*,*,J,K,G,*,*,*,g,left
*,*,*,B,D,X,*,*,*,m,down
*,*,*,S,J,H,*,*,*,h,left
*,*,*,R,K,C,*,*,*,d,down
*,*,*,T,Q,R,*,*,*,q,left
*,*,*,H,J,S,*,*,*,l,down
*,*,*,S,J,D,*,*,*,d,left
*,*,*,G,X,Y,*,*,*,f,down
*,*,*,Y,L,S,*,*,*,y,left
*,*,*,S,Y,L,*,*,*,g,down
*,*,*,R,K,Z,*,*,*,k,left
*,*,*,L,Z,J,*,*,*,d,down
*,*,*,X,B,C,*,*,*,x,left
*,*,*,R,J,T,*,*,*,x,down
*,*,*,C,P,R,*,*,*,c,left
*,*,*,G,X,D,*,*,*,h,down
*,*,*,C,Q,H,*,*,*,q,left
*,*,*,X,K,Z,*,*,*,j,down
*,*,*,H,B,M,*,*,*,b,left
*,*,*,V,D,B,*,*,*,h,down
*,*,*,Q,Y,Z,*,*,*,z,left
*,*,*,X,L,C,*,*,*,q,down
*,*,*,Y,L,B,*,*,*,y,left
*,*,*,N,K,S,*,*,*,x,down
*,*,*,R,J,M,*,*,*,m,left
*,*,*,T,R,N,*,*,*,f,down
*,*,*,R,Y,T,*,*,*,t,left
*,*,*,R,T,C,*,*,*,f,down
*,*,*,B,M,Z,*,*,*,m,left
*,*,*,S,Z,J,*,*,*,v,down
*,*,*,X,B,K,*,*,*,x,left
*,*,*,M,T,Y,*,*,*,k,down
*,*,*,X,N,B,*,*,*,n,left
*,*,*,B,V,J,*,*,*,p,down
*,*,*,F,C,S,*,*,*,s,left
*,*,*,H,F,K,*,*,*,g,down
*,*,*,L,V,C,*,*,*,c,left
*,*,*,P,B,K,*,*,*,z,down
*,*,*,T,X,P,*,*,*,t,left
*,*,*,K,P,Y,*,*,*,l,down
*,*,*,M,C,K,*,*,*,c,left
*,*,*,X,V,H,*,*,*,b,down
*,*,*,R,Z,N,*,*,*,z,left
*,*,*,Z,M,H,*,*,*,v,down
*,*,*,J,X,S,*,*,*,x,left
*,*,*,L,M,Y,*,*,*,f,down
*,*,*,P,M,Y,*,*,*,y,left
*,*,*,C,Y,B,*,*,*,d,down
*,*,*,L,D,P,*,*,*,d,left
*,*,*,B,F,P,*,*,*,j,down
*,*,*,V,X,Q,*,*,*,q,left
*,*,*,M,L,Y,*,*,*,j,down
*,*,*,S,Z,J,*,*,*,j,left
*,*,*,Z,H,V,*,*,*,g,down
*,*,*,B,Y,D,*,*,*,d,left
*,*,*,V,C,M,*,*,*,f,down
*,*,*,Q,R,C,*,*,*,r,left
*,*,*,S,V,C,*,*,*,b,down
*,*,*,X,Q,G,*,*,*,x,left
*,*,*,L,C,Z,*,*,*,v,down
*,*,*,F,B,Y,*,*,*,f,left
*,*,*,C,X,D,*,*,*,g,down
*,*,*,X,N,S,*,*,*,x,left
*,*,*,J,Q,P,*,*,*,k,down
*,*,*,Z,F,L,*,*,*,f,left
*,*,*,Y,M,J,*,*,*,r,down
*,*,*,H,X,Q,*,*,*,h,left
*,*,*,Q,K,G,*,*,*,m,down
*,*,*,N,H,P,*,*,*,p,left
*,*,*,T,R,H,*,*,*,g,down
*,*,*,B,R,S,*,*,*,b,left
*,*,*,F,Q,D,*,*,*,n,down
*,*,*,V,G,T,*,*,*,v,left
*,*,*,K,C,V,*,*,*,l,down
*,*,*,B,J,T,*,*,*,j,left
*,*,*,J,S,X,*,*,*,c,down
*,*,*,H,Z,P,*,*,*,p,left
*,*,*,N,Y,V,*,*,*,q,down
*,*,*,C,S,Y,*,*,*,c,left
*,*,*,X,N,M,*,*,*,t,down
*,*,*,X,B,Q,*,*,*,x,left
*,*,*,L,R,K,*,*,*,z,down
*,*,*,Y,S,R,*,*,*,s,left
*,*,*,S,N,Q,*,*,*,k,down
*,*,*,Z,S,D,*,*,*,z,left
*,*,*,X,K,T,*,*,*,d,down
*,*,*,P,F,X,*,*,*,f,left
*,*,*,J,P,R,*,*,*,y,down
*,*,*,H,T,Z,*,*,*,t,left
*,*,*,N,B,R,*,*,*,p,down
*,*,*,M,X,Y,*,*,*,x,left
*,*,*,R,J,Y,*,*,*,k,down
*,*,*,C,T,M,*,*,*,c,left
*,*,*,B,C,Z,*,*,*,d,down
*,*,*,R,Z,X,*,*,*,z,left
*,*,*,G,M,Y,*,*,*,q,down
*,*,*,V,P,M,*,*,*,p,left
*,*,*,H,D,N,*,*,*,x,down
*,*,*,J,T,D,*,*,*,d,left
*,*,*,Z,S,P,*,*,*,b,down
*,*,*,N,B,Y,*,*,*,y,left
*,*,*,K,S,X,*,*,*,h,down
*,*,*,Y,T,K,*,*,*,k,left
*,*,*,J,G,P,*,*,*,c,down
*,*,*,Z,K,N,*,*,*,z,left
*,*,*,Q,Z,V,*,*,*,d,down
*,*,*,Z,J,L,*,*,*,l,left
*,*,*,J,S,H,*,*,*,c,down
*,*,*,N,Y,X,*,*,*,x,left
*,*,*,Q,V,N,*,*,*,k,down
*,*,*,C,T,J,*,*,*,j,left
*,*,*,R,K,J,*,*,*,t,down
*,*,*,R,J,K,*,*,*,j,left
*,*,*,N,V,G,*,*,*,k,down
*,*,*,D,C,P,*,*,*,d,left
*,*,*,R,Z,P,*,*,*,c,down
*,*,*,J,C,F,*,*,*,c,left
*,*,*,M,P,S,*,*,*,h,down
*,*,*,P,K,G,*,*,*,g,left
*,*,*,T,Z,S,*,*,*,p,down
*,*,*,Z,P,S,*,*,*,z,left
*,*,*,P,L,C,*,*,*,k,down
*,*,*,C,X,Q,*,*,*,q,left
*,*,*,M,V,G,*,*,*,t,down
*,*,*,Y,Q,L,*,*,*,q,left
*,*,*,B,L,X,*,*,*,p,down
*,*,*,R,S,B,*,*,*,b,left
*,*,*,D,Q,T,*,*,*,l,down
*,*,*,P,T,F,*,*,*,t,left
*,*,*,V,X,H,*,*,*,b,down
*,*,*,V,Q,L,*,*,*,v,left
*,*,*,Q,N,H,*,*,*,d,down
*,*,*,X,L,T,*,*,*,x,left
*,*,*,Q,T,K,*,*,*,m,down
*,*,*,F,V,Z,*,*,*,f,left
*,*,*,B,M,H,*,*,*,k,down
*,*,*,F,D,N,*,*,*,n,left
*,*,*,B,J,N,*,*,*,x,down
*,*,*,Z,L,F,*,*,*,f,left
*,*,*,Z,B,Q,*,*,*,g,down
*,*,*,J,B,P,*,*,*,j,left
*,*,*,V,P,H,*,*,*,s,down
*,*,*,X,S,T,*,*,*,s,left
*,*,*,J,P,M,*,*,*,t,down
*,*,*,T,V,Q,*,*,*,v,left
*,*,*,X,C,V,*,*,*,q,down
*,*,*,V,S,C,*,*,*,v,left
*,*,*,T,Q,P,*,*,*,b,down
*,*,*,J,F,H,*,*,*,h,left
*,*,*,N,S,D,*,*,*,g,down
*,*,*,Y,D,G,*,*,*,d,left
*,*,*,Y,Z,F,*,*,*,h,down
*,*,*,T,N,B,*,*,*,t,left
*,*,*,X,F,B,*,*,*,l,down
*,*,*,G,F,T,*,*,*,f,left
*,*,*,Q,R,Z,*,*,*,s,down
*,*,*,J,Z,B,*,*,*,z,left
*,*,*,H,F,Z,*,*,*,q,down
*,*,*,S,L,T,*,*,*,t,left
*,*,*,D,Q,F,*,*,*,t,down
*,*,*,D,R,G,*,*,*,g,left
*,*,*,Q,J,V,*,*,*,l,down
*,*,*,B,J,F,*,*,*,j,left
*,*,*,Q,R,Y,*,*,*,x,down
*,*,*,B,J,C,*,*,*,j,left
*,*,*,S,B,C,*,*,*,f,down
*,*,*,Z,P,Y,*,*,*,z,left
*,*,*,R,Q,Z,*,*,*,f,down
*,*,*,L,Q,S,*,*,*,l,left
*,*,*,C,D,N,*,*,*,s,down
*,*,*,Z,B,F,*,*,*,z,left
*,*,*,M,L,T,*,*,*,d,down
*,*,*,X,H,G,*,*,*,x,left
*,*,*,J,L,Z,*,*,*,c,down
*,*,*,G,Z,X,*,*,*,x,left
*,*,*,M,R,J,*,*,*,f,down
*,*,*,M,D,S,*,*,*,m,left
*,*,*,M,C,B,*,*,*,z,down
*,*,*,B,G,F,*,*,*,g,left
*,*,*,D,Y,J,*,*,*,z,down
*,*,*,M,P,N,*,*,*,m,left
*,*,*,N,V,P,*,*,*,r,down
*,*,*,M,D,S,*,*,*,d,left
*,*,*,S,M,Q,*,*,*,v,down
*,*,*,G,X,P,*,*,*,g,left
*,*,*,Z,J,B,*,*,*,k,down
*,*,*,C,S,V,*,*,*,v,left
*,*,*,S,R,Y,*,*,*,j,down
*,*,*,D,M,S,*,*,*,m,left
*,*,*,V,Y,S,*,*,*,f,down
*,*,*,L,G,C,*,*,*,c,left
*,*,*,N,Z,H,*,*,*,d,down
*,*,*,V,D,H,*,*,*,h,left
*,*,*,F,X,N,*,*,*,g,down
*,*,*,M,Q,K,*,*,*,m,left
*,*,*,X,G,V,*,*,*,s,down
*,*,*,B,K,Z,*,*,*,b,left
*,*,*,N,G,H,*,*,*,z,down
*,*,*,B,Y,D,*,*,*,y,left
*,*,*,J,D,R,*,*,*,q,down
*,*,*,R,J,X,*,*,*,x,left
*,*,*,J,B,K,*,*,*,c,down
*,*,*,P,D,Q,*,*,*,d,left
*,*,*,S,H,K,*,*,*,d,down
*,*,*,P,C,Y,*,*,*,p,left
*,*,*,B,T,P,*,*,*,z,down
*,*,*,N,S,J,*,*,*,s,left
*,*,*,V,M,J,*,*,*,n,down
*,*,*,V,N,Y,*,*,*,y,left
*,*,*,R,D,X,*,*,*,c,down
*,*,*,M,S,V,*,*,*,m,left
*,*,*,Q,Y,V,*,*,*,s,down
*,*,*,M,P,C,*,*,*,m,left
*,*,*,Z,S,N,*,*,*,b,down
*,*,*,X,H,T,*,*,*,t,left
*,*,*,D,T,S,*,*,*,m,down
*,*,*,B,X,Z,*,*,*,x,left
*,*,*,M,L,N,*,*,*,p,down
*,*,*,H,N,V,*,*,*,v,left
*,*,*,Q,T,S,*,*,*,l,down
*,*,*,R,Y,P,*,*,*,y,left
*,*,*,K,N,Z,*,*,*,q,down
*,*,*,G,M,B,*,*,*,m,left
*,*,*,Z,C,S,*,*,*,x,down
*,*,*,C,M,B,*,*,*,m,left
*,*,*,F,N,G,*,*,*,k,down
*,*,*,C,L,T,*,*,*,c,left
*,*,*,K,J,B,*,*,*,f,down
*,*,*,H,S,N,*,*,*,h,left
*,*,*,B,D,L,*,*,*,s,down
*,*,*,S,H,B,*,*,*,b,left
*,*,*,V,K,R,*,*,*,t,down
*,*,*,S,L,X,*,*,*,s,left
*,*,*,M,N,C,*,*,*,b,down
*,*,*,Z,L,J,*,*,*,l,left
*,*,*,J,V,K,*,*,*,n,down
*,*,*,Q,T,S,*,*,*,t,left
*,*,*,N,Q,G,*,*,*,l,down
*,*,*,L,F,H,*,*,*,f,left
*,*,*,H,B,T,*,*,*,l,down
*,*,*,F,L,B,*,*,*,b,left
*,*,*,T,K,V,*,*,*,s,down
*,*,*,P,M,F,*,*,*,p,left
*,*,*,Z,Q,Y,*,*,*,l,down
*,*,*,K,M,T,*,*,*,k,left
*,*,*,R,N,P,*,*,*,j,down
*,*,*,M,H,B,*,*,*,b,left
*,*,*,F,X,J,*,*,*,h,down
*,*,*,P,J,R,*,*,*,r,left
*,*,*,N,Y,G,*,*,*,r,down
*,*,*,M,P,R,*,*,*,r,left
*,*,*,F,R,S,*,*,*,b,down
*,*,*,Z,G,X,*,*,*,z,left
*,*,*,F,L,B,*,*,*,h,down
*,*,*,G,K,Q,*,*,*,q,left
*,*,*,F,Q,H,*,*,*,p,down
*,*,*,D,J,M,*,*,*,d,left
*,*,*,J,V,Z,*,*,*,l,down
*,*,*,Z,R,Q,*,*,*,z,left
*,*,*,L,Q,R,*,*,*,p,down
*,*,*,H,P,J,*,*,*,h,left
*,*,*,S,M,P,*,*,*,l,down
*,*,*,L,Z,B,*,*,*,b,left
*,*,*,N,K,G,*,*,*,s,down
*,*,*,T,Z,C,*,*,*,z,left
*,*,*,J,T,C,*,*,*,s,down
*,*,*,T,N,F,*,*,*,f,left
*,*,*,K,Z,B,*,*,*,v,down
*,*,*,Q,M,D,*,*,*,q,left
*,*,*,L,P,R,*,*,*,h,down
*,*,*,K,L,N,*,*,*,l,left
*,*,*,B,N,P,*,*,*,j,down
*,*,*,S,H,T,*,*,*,t,left
*,*,*,B,Z,G,*,*,*,v,down
*,*,*,S,Y,N,*,*,*,s,left
*,*,*,C,B,F,*,*,*,l,down
*,*,*,G,T,Q,*,*,*,q,left
*,*,*,L,N,B,*,*,*,h,down
*,*,*,L,Y,T,*,*,*,t,left
*,*,*,T,Z,H,*,*,*,q,down
*,*,*,J,H,X,*,*,*,j,left
*,*,*,G,N,P,*,*,*,f,down
*,*,*,C,T,V,*,*,*,t,left
*,*,*,X,T,C,*,*,*,k,down
*,*,*,B,V,D,*,*,*,d,left
*,*,*,B,P,N,*,*,*,m,down
*,*,*,D,L,K,*,*,*,k,left
*,*,*,R,L,Q,*,*,*,n,down
*,*,*,Y,C,X,*,*,*,y,left
*,*,*,Z,B,C,*,*,*,p,down
*,*,*,M,H,J,*,*,*,h,left
*,*,*,C,P,R,*,*,*,y,down
*,*,*,V,D,Q,*,*,*,d,left
*,*,*,D,L,G,*,*,*,p,down
*,*,*,F,G,V,*,*,*,g,left
*,*,*,F,K,X,*,*,*,z,down
*,*,*,Q,T,L,*,*,*,q,left
*,*,*,H,R,Y,*,*,*,x,down
*,*,*,P,V,X,*,*,*,x,left
*,*,*,T,S,V,*,*,*,d,down
*,*,*,Q,B,J,*,*,*,j,left
*,*,*,M,F,Q,*,*,*,y,down
*,*,*,V,P,Y,*,*,*,y,left
*,*,*,K,D,R,*,*,*,x,down
*,*,*,G,F,B,*,*,*,g,left
*,*,*,S,H,N,*,*,*,p,down
*,*,*,T,Q,N,*,*,*,n,left
*,*,*,Z,K,L,*,*,*,p,down
*,*,*,D,G,K,*,*,*,g,left
*,*,*,Z,S,C,*,*,*,y,down
*,*,*,Y,F,D,*,*,*,f,left
*,*,*,T,N,H,*,*,*,y,down
*,*,*,F,G,J,*,*,*,j,left
*,*,*,Q,L,S,*,*,*,v,down
*,*,*,B,S,Q,*,*,*,b,left
*,*,*,B,F,X,*,*,*,h,down
*,*,*,K,R,Y,*,*,*,r,left
*,*,*,F,C,H,*,*,*,l,down
*,*,*,S,Q,L,*,*,*,s,left
*,*,*,V,Q,K,*,*,*,c,down
*,*,*,J,N,L,*,*,*,l,left
*,*,*,F,G,H,*,*,*,c,down
*,*,*,R,C,P,*,*,*,p,left
*,*,*,C,V,Y,*,*,*,l,down
*,*,*,J,B,H,*,*,*,b,left
*,*,*,H,P,C,*,*,*,d,down
*,*,*,J,L,S,*,*,*,j,left
*,*,*,Y,M,V,*,*,*,g,down
*,*,*,Y,G,D,*,*,*,d,left
*,*,*,D,V,Q,*,*,*,t,down
*,*,*,J,K,V,*,*,*,j,left
*,*,*,Q,H,Y,*,*,*,n,down
*,*,*,Y,X,L,*,*,*,x,left
*,*,*,L,X,Z,*,*,*,k,down
