Word,bio,Length,LgSUBTLWF
cormorant,B,9,0.78
crockery,A,8,0.778
dray,A,4,0.778
hosiery,A,7,0.778
lattice,A,7,0.7
lyre,A,4,0.7
toboggan,A,8,0.7
slat,A,4,0.7
lectern,A,7,0.7
pinafore,A,8,0.7
verandah,A,8,0.7
lanyard,A,7,0.7
rattan,A,6,0.7
crinoline,A,9,0.7
opossum,B,7,0.7
pimento,B,7,0.7
lichen,B,6,0.7
stamen,B,6,0.7
toucan,B,6,0.7
parsnip,B,7,0.7
oleander,B,8,0.7
sumac,B,5,0.7
dromedary,B,9,0.7
coriander,B,9,0.7
begonia,B,7,0.7
aphid,B,5,0.7
persimmon,B,9,0.7
palmetto,B,8,0.699
sachet,A,6,0.602
platypus,B,8,0.602
catamaran,A,9,0.6
poplin,A,6,0.6
poinsettia,B,10,0.6
tuber,B,5,0.6
crocus,B,6,0.6
cicada,B,6,0.6
sloe,B,4,0.6
katydid,B,7,0.6
ibex,B,4,0.6
stilt,A,5,0.48
awl,A,3,0.48
frieze,A,6,0.48
marsupial,B,9,0.48
camomile,B,8,0.48
peony,B,5,0.48
shallot,B,7,0.48
turmeric,B,8,0.48
ocelot,B,6,0.48
jonquil,B,7,0.48
glycerine,A,9,0.477
moccasin,A,8,0.477
tweezer,A,7,0.477
lynx,B,4,0.301
pipette,A,7,0.3
manacle,A,7,0.3
hassock,A,7,0.3
clavichord,A,10,0.3
plantain,B,8,0.3
osprey,B,6,0.3
morel,B,5,0.3
yarrow,B,6,0.3
