Word,Richness,Animate,Corr,freqQ,Length,LgSUBTLWF,Ortho_N,Phono_N,BG_Freq_By_Pos,NoF,CNC,FAM,IMG,Sem_N,NoS,cognate,ITI,Order
tiger,L,B,left,4,5,2.707,4,6,1929,24,611,513,606,2338,2,y,1.85,61
snail,L,B,left,1,5,1.959,1,3,700,9,579,489,577,1111,3,n,2.57,62
thimble,L,A,down,1,7,1.756,0,0,1346,12,613,457,602,1791,3,y,3.35,63
chain,H,A,down,2,5,2.263,1,28,1568,11,595,513,559,2915,11,y,2.22,64
hawk,H,B,left,4,4,2.814,4,16,470,13,623,504,591,1903,6,n,1.82,65
shirt,L,A,down,5,5,3.374,5,15,1121,18,616,612,612,2057,2,n,2.43,66
shrimp,H,B,left,3,6,2.648,1,2,1140,13,629,546,618,1570,4,n,3.24,67
broom,H,A,down,3,5,2.387,4,8,1476,13,613,547,608,1238,5,n,1.48,68
canary,H,B,left,5,6,3.595,0,0,1877,15,577,411,533,1732,5,y,1.98,69
pepper,H,B,left,4,6,2.653,2,6,2531,12,591,554,587,1956,6,n,2.42,70
leopard,L,B,left,1,7,1.663,2,6,1030,9,595,431,635,1639,2,y,2.28,71
pencil,H,A,down,4,6,2.702,0,1,1612,16,617,598,607,1602,5,n,1.47,72
dandelion,L,B,left,1,9,1.204,0,0,2997,13,558,513,579,965,1,n,2.39,73
cellar,L,A,down,4,6,2.68,1,10,1695,10,572,467,572,1676,3,n,0.86,74
bench,H,A,down,4,5,2.694,5,7,1553,11,614,488,555,2109,9,n,2.33,75
pony,H,B,left,1,4,2.004,7,7,1533,18,611,524,642,1525,5,y,2.07,76
kettle,H,A,down,1,6,2.158,3,15,1572,17,602,551,594,1476,4,n,3.73,77
tangerine,H,B,left,1,9,1.591,0,0,4312,16,645,495,625,0,4,n,0.99,78
mat,H,A,down,2,3,2.253,18,31,1237,13,513,490,537,1527,10,n,1.84,79
cloak,L,A,down,2,5,2.188,2,13,778,8,543,423,518,1572,3,n,3.14,80
sofa,L,A,down,5,4,3.554,3,3,377,18,629,564,597,1162,1,y,4,81
limousine,L,A,down,1,9,1.909,0,0,2292,19,624,505,595,1229,1,y,1.71,82
toad,L,A,down,3,4,2.464,5,23,690,23,568,516,591,1245,1,n,1.91,83
barn,L,A,down,5,4,2.841,12,11,1566,17,614,466,589,1849,2,n,1.81,84
tortoise,L,B,left,1,8,1.914,0,0,2123,14,602,415,539,1285,1,y,2.42,85
tomato,L,B,left,5,6,2.827,0,0,1454,13,662,574,610,1459,2,y,2.28,86
lamp,L,A,down,3,4,2.61,10,9,923,14,615,578,575,1835,2,y,3,87
cage,H,A,down,1,4,1.255,13,15,962,13,593,487,585,2152,6,y,2.32,88
hamster,L,B,left,2,7,2.041,0,0,2583,14,599,467,581,1240,1,n,2.47,89
clock,L,A,down,5,5,3.476,8,13,1103,14,591,608,614,2344,2,n,2.44,90
shed,H,A,down,4,4,2.749,6,18,903,12,611,524,602,2144,6,n,2.5,91
python,L,B,left,3,6,2.314,0,0,873,15,580,308,559,1538,3,y,1.42,92
spinach,L,B,left,2,7,2.117,0,1,1303,11,589,452,606,715,2,n,2.01,93
dress,H,A,down,5,5,3.648,3,4,1357,13,595,588,595,2608,21,n,4.76,94
jacket,H,A,down,5,6,3.232,2,2,1459,15,635,596,611,1849,7,n,2.73,95
vine,L,B,left,3,4,2.48,12,22,1065,8,601,411,564,1655,1,y,2.35,96
whale,L,B,left,4,5,2.76,3,5,1289,12,610,500,623,1810,3,n,3.25,97
hammer,H,A,down,4,6,2.804,2,6,2424,16,605,515,618,2139,9,n,1.78,98
dog,H,B,left,5,3,3.993,13,9,344,18,610,598,636,3050,8,y,1.51,99
umbrella,H,A,down,3,8,2.583,0,0,1208,11,606,511,592,1961,4,n,2.66,100
